Desc	Orthogroup	Acal	Aful	Aric	Aste	Bcal	Bgla	Bner	Cgig	Ctel	Cuni	Dcar	Dgyr	Dpol	Eand	Echl	Gaeg	Gmag	Hhan	Hman	Hmed	Hrob	Hrub	Lana	Lgig	Llon	Lluy	Mcal	Mcor	Mlig	Mmer	Mvul	Myes	Obim	Oida	Paus	Pcro	Pech	Pesc	Ppel	Rota	Rsoc	Rsor	Smed	Spha
(null)	OG0000012	40	36	19	33	15	36	15	39	57	37	23	1	56	42	37	38	42	50	24	15	67	41	46	39	63	18	49	40	37	43	52	32	28	57	31	21	28	56	48	37	29	32	20	19
(null)	OG0000017	18	32	38	47	19	19	22	15	32	28	33	22	30	35	21	27	29	46	27	17	26	32	23	28	39	27	26	21	26	24	63	21	17	52	19	15	28	26	33	48	39	48	26	16
(null)	OG0000019	20	32	40	42	23	25	12	26	32	33	38	28	33	37	23	30	38	35	23	8	29	37	26	35	44	38	27	30	8	28	52	24	23	53	19	21	15	36	25	50	40	54	23	14
(null)	OG0000020	20	23	22	24	8	23	44	37	60	29	15	20	80	39	21	41	64	85	27	28	32	67	39	37	41	60	56	28	28	73	55	36	18	56	25	22	35	57	40	27	20	23	25	15
(null)	OG0000024	20	26	27	29	14	26	6	22	32	25	28	25	24	40	26	30	27	63	21	15	22	26	25	34	36	33	15	31	8	20	48	25	19	39	22	12	20	27	31	31	24	31	16	11
(null)	OG0000027	16	19	25	28	12	19	23	17	27	26	28	12	33	53	20	29	21	43	29	24	33	25	26	20	25	26	19	18	65	33	70	15	17	51	22	24	25	47	29	33	25	29	36	13
(null)	OG0000028	12	11	14	13	4	9	4	19	31	12	7	18	11	56	14	16	20	34	17	16	21	19	35	15	51	29	20	9	21	30	70	17	14	29	15	32	20	29	23	11	10	9	15	8
(null)	OG0000033	20	23	42	31	96	22	50	17	60	24	22	48	18	52	37	40	51	91	14	1	44	75	58	27	67	74	34	17	31	30	71	16	5	28	34	49	86	94	43	46	13	37	25	2
(null)	OG0000034	9	7	0	0	5	13	9	58	51	8	1	5	81	24	8	43	40	85	5	4	7	32	81	20	13	9	42	62	11	69	27	34	26	6	27	6	6	50	46	0	0	0	11	25
(null)	OG0000036	37	31	18	22	11	46	23	37	31	47	19	9	39	28	37	43	32	60	7	8	10	63	35	35	35	26	59	26	26	68	27	70	24	77	31	37	10	48	25	19	15	23	16	8
(null)	OG0000037	18	27	8	10	2	23	8	15	24	24	5	29	24	23	15	14	22	32	2	2	2	16	30	17	30	22	11	23	8	19	35	9	17	62	10	11	8	15	17	13	11	10	10	15
(null)	OG0000039	56	35	9	10	4	22	30	37	48	19	6	2	22	1	19	12	73	82	3	4	1	95	62	14	14	5	47	36	21	72	0	40	21	52	19	19	1	66	36	6	5	4	6	6
(null)	OG0000040	17	20	37	39	15	15	18	13	18	23	36	22	16	24	16	14	19	22	20	17	25	17	21	20	29	22	14	22	20	13	45	17	21	53	14	23	15	15	29	46	31	39	16	16
(null)	OG0000042	17	28	26	23	9	15	13	14	15	23	18	15	18	41	17	16	17	29	24	18	30	17	20	19	44	18	15	16	42	18	58	14	18	52	17	38	12	16	26	26	16	31	36	10
(null)	OG0000043	15	22	25	33	13	16	20	21	24	26	19	14	26	40	16	28	22	29	28	24	25	33	19	20	39	17	21	25	49	22	63	22	20	37	22	17	14	29	25	36	21	31	51	21
(null)	OG0000044	8	10	7	8	4	25	6	34	5	16	4	10	82	32	15	22	43	25	12	7	14	23	10	14	25	7	28	13	12	37	42	13	40	19	16	21	10	21	24	10	12	11	6	9
(null)	OG0000045	2	0	0	2	0	2	4	1	0	2	1	1	2	2	2	3	3	4	0	1	0	5	4	5	0	2	1	3	4	2	0	3	0	2	1	0	0	0	1	1	2	1	0	0
(null)	OG0000046	25	23	1	3	5	22	16	37	12	25	4	15	27	16	18	35	43	45	15	16	11	54	22	26	22	22	15	36	67	39	34	17	21	64	12	27	18	15	45	2	4	2	4	20
(null)	OG0000047	15	19	42	43	14	20	12	25	21	17	14	10	25	19	14	18	30	34	1	1	3	17	41	14	51	27	13	12	13	16	15	26	11	36	42	19	16	54	24	27	14	33	28	2
(null)	OG0000048	15	15	3	9	6	15	13	15	15	23	3	6	13	27	13	16	19	28	14	16	23	21	48	17	15	15	18	16	6	23	45	7	14	52	11	15	15	22	19	7	6	10	14	9
(null)	OG0000049	66	49	8	7	9	51	4	64	36	49	13	17	41	67	27	31	61	49	17	11	20	70	37	39	33	47	54	34	15	57	99	37	60	87	21	11	31	85	31	10	5	5	6	51
(null)	OG0000051	22	22	21	21	5	16	10	26	55	26	14	24	14	40	23	32	56	84	20	18	26	56	10	39	47	30	32	27	30	23	64	24	18	45	8	40	17	36	38	23	16	19	23	15
(null)	OG0000052	0	0	23	27	0	0	1	0	6	0	30	6	0	0	0	0	1	1	0	0	1	0	21	0	1	36	0	0	0	0	1	0	0	0	4	2	20	13	0	12	22	10	0	0
(null)	OG0000053	7	12	0	1	5	24	28	27	28	39	5	6	45	25	26	25	38	30	9	5	8	71	23	28	30	46	27	58	21	22	20	25	16	23	26	31	54	60	32	0	0	2	7	12
(null)	OG0000054	12	13	4	6	2	13	6	12	8	19	5	3	27	14	15	15	19	20	2	2	5	16	17	15	21	11	11	14	6	18	25	12	20	32	14	10	12	9	28	6	3	4	11	22
(null)	OG0000055	17	19	18	21	6	15	15	16	14	22	20	14	20	30	17	16	17	19	14	10	24	18	15	13	27	16	19	18	17	17	55	16	12	38	12	10	13	17	29	27	16	20	17	13
(null)	OG0000056	10	6	5	8	3	4	36	17	56	7	4	14	91	28	15	24	17	34	5	4	9	16	53	18	51	56	15	4	4	68	30	6	22	10	34	9	46	67	15	7	7	8	3	9
(null)	OG0000057	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0
(null)	OG0000060	10	12	19	12	5	11	2	0	36	20	11	12	0	38	1	14	18	53	9	4	16	15	61	8	29	19	8	9	0	1	22	5	12	22	7	0	5	56	4	2	0	1	0	5
(null)	OG0000062	18	7	5	9	7	10	16	11	31	11	8	9	17	15	22	10	16	27	6	9	12	13	18	9	28	29	16	12	27	6	12	16	26	13	22	10	12	27	20	12	7	11	11	12
(null)	OG0000064	13	17	9	7	7	11	10	12	17	21	10	8	9	26	10	12	12	11	14	8	15	10	11	13	21	13	12	14	16	8	34	11	15	24	13	15	14	12	18	16	8	13	11	11
(null)	OG0000066	26	28	41	53	24	33	36	20	15	21	41	1	16	5	15	5	36	81	4	4	8	54	36	10	12	9	18	30	10	18	8	17	18	32	11	9	7	52	14	69	21	64	20	17
(null)	OG0000068	14	14	31	28	10	17	11	15	13	19	21	14	19	21	17	14	16	27	12	13	13	16	16	14	31	9	13	14	43	19	33	13	14	23	14	22	9	19	25	37	28	28	27	7
(null)	OG0000069	12	16	32	39	13	17	17	9	14	16	26	8	16	43	13	11	17	27	11	11	18	12	11	12	24	13	12	14	16	15	70	12	11	29	13	12	3	9	10	36	31	33	18	7
(null)	OG0000070	26	23	26	31	13	23	27	20	76	25	19	4	35	17	22	26	26	41	2	2	4	42	54	16	11	47	24	27	6	75	29	51	6	36	11	24	16	42	14	35	19	35	6	2
(null)	OG0000072	26	37	25	26	8	20	23	14	23	33	15	14	17	27	17	23	42	46	15	14	19	44	19	25	29	21	14	14	26	13	30	15	12	81	14	20	17	20	32	25	20	24	18	10
(null)	OG0000073	10	11	18	18	7	9	9	10	9	15	22	8	11	42	9	13	13	13	20	15	27	13	12	13	15	13	10	11	25	11	65	10	10	19	10	10	11	10	18	20	20	15	11	11
(null)	OG0000074	16	12	4	6	6	9	15	15	18	17	2	6	53	21	15	15	26	38	5	16	15	31	18	21	13	32	20	23	19	33	27	8	12	39	14	17	26	20	27	8	3	3	7	9
(null)	OG0000075	11	12	30	34	19	11	10	6	8	14	25	7	11	34	10	14	9	16	15	8	19	7	14	14	31	12	13	10	40	14	37	9	19	25	10	17	8	23	16	36	28	23	31	16
(null)	OG0000076	14	21	23	35	15	18	6	22	12	25	23	5	31	27	13	22	21	34	15	12	20	29	10	14	16	17	31	19	22	20	52	16	14	29	10	7	8	11	26	41	22	19	16	3
(null)	OG0000078	9	17	7	7	5	11	10	11	12	9	5	4	12	21	11	11	21	14	7	4	8	16	11	10	16	16	12	11	2	8	31	10	12	29	10	9	10	14	15	5	6	7	7	13
(null)	OG0000079	16	14	17	23	10	16	23	18	16	17	9	12	16	21	16	15	21	22	10	9	9	18	19	13	30	19	19	17	20	23	22	12	19	32	15	23	13	14	22	23	15	20	38	11
(null)	OG0000080	12	15	8	11	5	34	0	4	3	16	27	2	13	23	5	8	8	20	15	8	13	8	21	8	3	20	19	22	5	6	17	4	7	48	6	2	38	10	9	32	6	12	5	0
(null)	OG0000081	19	19	26	48	9	19	5	13	9	32	11	7	14	10	20	12	18	37	20	12	10	13	18	17	32	17	11	16	15	12	21	9	13	69	14	12	9	45	26	47	20	38	32	10
(null)	OG0000083	19	11	16	18	11	13	21	43	31	21	7	6	16	11	11	27	32	12	2	2	7	22	19	26	15	34	27	25	9	21	21	13	10	36	4	13	54	48	38	18	11	12	6	6
(null)	OG0000085	15	14	6	9	6	11	22	8	16	13	11	7	9	21	11	9	11	24	13	11	20	11	15	13	19	15	5	7	20	9	28	5	13	19	12	10	11	8	21	10	15	10	14	9
(null)	OG0000086	7	12	24	22	11	11	5	11	14	14	21	10	14	26	11	10	22	13	21	11	23	19	11	10	20	16	12	15	10	12	44	8	13	26	10	16	9	14	14	24	23	23	21	8
(null)	OG0000087	16	14	52	53	20	16	7	14	11	13	28	3	23	32	7	11	15	56	21	6	8	19	16	13	15	13	19	10	16	26	20	11	6	27	13	33	11	13	15	45	33	42	44	2
(null)	OG0000088	13	9	12	12	3	11	13	29	10	18	7	8	45	34	11	11	23	22	20	13	16	23	24	17	21	9	22	12	6	43	33	22	12	35	25	10	12	8	25	13	6	9	6	7
(null)	OG0000090	4	4	14	26	4	5	9	5	4	7	24	13	13	20	6	9	9	6	16	10	29	7	15	7	26	13	11	7	14	5	30	6	14	5	10	9	6	13	9	25	13	17	18	9
(null)	OG0000091	13	18	10	7	3	11	10	12	12	24	7	9	15	28	11	12	14	14	17	9	18	10	17	12	22	19	13	16	2	13	45	12	15	51	11	9	11	13	17	10	6	8	8	8
(null)	OG0000092	8	8	34	27	10	10	15	15	10	6	31	8	18	15	4	13	26	82	10	11	4	26	12	9	16	3	24	17	6	41	21	25	9	10	6	12	1	39	11	52	21	41	1	6
(null)	OG0000094	18	26	11	10	10	16	6	28	15	32	7	3	20	18	17	17	24	23	7	4	10	16	20	14	22	15	22	26	1	23	36	14	22	44	8	11	4	10	24	12	6	8	20	12
(null)	OG0000095	24	19	22	23	8	10	12	18	64	27	4	13	27	53	33	17	50	90	11	4	10	59	18	12	9	42	20	20	27	33	33	33	10	57	10	38	12	55	19	21	11	27	6	7
(null)	OG0000097	5	10	25	21	10	8	4	3	2	10	31	3	5	24	5	3	9	17	14	11	13	10	3	6	7	3	3	6	20	5	42	3	11	21	4	9	1	2	7	28	20	24	33	10
(null)	OG0000098	30	19	20	25	15	17	5	16	10	29	20	9	8	31	20	18	37	63	5	4	8	40	17	26	40	10	23	26	14	25	31	20	36	30	12	58	8	17	26	34	21	28	16	6
(null)	OG0000099	18	16	9	11	11	12	11	26	13	20	16	12	16	11	11	15	33	18	11	6	5	32	11	12	18	7	31	6	13	25	18	17	12	29	2	29	8	12	17	20	13	21	13	6
(null)	OG0000100	29	34	29	35	27	24	5	14	11	35	23	3	15	11	16	30	34	36	9	6	4	24	33	23	3	48	26	21	0	19	18	17	26	57	9	0	27	22	29	39	26	34	0	11
(null)	OG0000101	12	24	21	22	10	13	11	11	11	21	15	5	14	10	12	13	11	17	6	8	5	15	14	10	17	12	13	14	19	13	22	12	8	29	9	10	9	10	10	28	16	22	12	9
(null)	OG0000102	41	36	36	45	9	13	21	10	29	31	38	6	15	7	17	16	19	17	8	5	3	27	13	13	11	9	19	10	9	34	8	11	9	45	7	14	8	66	24	59	14	54	6	5
(null)	OG0000103	10	23	28	38	12	18	8	11	17	12	29	7	12	13	17	12	13	13	10	9	7	19	13	13	14	10	15	11	15	11	10	9	8	59	8	8	8	27	10	44	27	30	12	8
(null)	OG0000105	9	6	34	35	20	8	9	18	18	7	31	20	19	11	10	12	17	22	11	8	10	16	21	13	23	11	17	12	15	26	20	12	22	23	16	8	12	24	18	38	15	35	7	12
(null)	OG0000106	15	21	25	29	26	17	18	10	11	20	21	11	13	31	20	15	13	69	6	7	9	15	17	8	16	40	9	12	20	7	17	10	6	26	10	8	8	8	16	37	21	45	11	2
(null)	OG0000107	7	5	19	14	20	8	8	12	9	8	5	5	32	3	13	0	22	20	4	1	4	21	16	19	10	0	16	15	3	19	2	11	5	12	9	11	0	24	14	22	8	15	8	4
(null)	OG0000108	16	25	13	11	5	14	13	7	17	17	11	7	12	6	18	25	33	12	8	4	4	26	10	40	15	7	16	29	34	22	8	11	23	73	10	22	13	18	22	13	16	16	61	11
(null)	OG0000111	10	9	13	20	9	10	3	19	8	16	18	8	12	20	11	11	17	15	16	8	16	12	7	12	10	17	9	15	13	9	29	11	10	25	6	11	7	9	16	21	20	20	6	5
(null)	OG0000113	9	12	2	2	5	6	8	31	13	8	1	8	33	19	12	12	26	46	14	8	7	21	22	19	18	22	16	26	7	27	26	17	11	7	20	6	21	25	35	7	1	8	4	10
(null)	OG0000114	47	19	18	44	25	17	22	15	17	17	27	5	24	26	17	7	32	63	7	4	8	29	7	11	14	6	18	14	27	21	19	13	28	20	12	14	9	24	33	35	11	22	7	16
(null)	OG0000115	13	21	48	63	24	5	21	18	25	16	42	26	12	37	11	15	25	19	22	21	21	27	23	13	0	27	14	15	66	19	56	20	9	53	10	31	16	13	20	67	44	58	59	4
