Desc	Orthogroup	Anas	Caug	Cqua	Cscu	Dapu	Dgal	Dmag	Dmel	Dpte	Dpul	Dsil	Dste	Eaff	Ebro	Gmae	Hame	Hazt	Hexe	Hhol	Iele	Lpol	Nstr	Pcau	Pchi	Pcla	Popi	Ppac	Ppol	Psam	Ptep	Rimm	Rvar	Smar	Tcal	Tcas	Tqin	Tuco	Znev
(null)	OG0000005	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0
(null)	OG0000010	11	8	46	27	5	6	5	14	1	6	13	3	6	15	10	45	34	1	4	3	51	1	15	37	58	1	2	35	94	17	65	1	18	4	6	24	16	4
(null)	OG0000012	11	17	16	28	9	10	8	9	9	9	40	22	25	41	14	15	11	15	17	16	37	50	19	13	15	27	12	19	16	31	54	19	33	20	14	14	23	45
(null)	OG0000013	12	22	19	30	16	14	17	17	15	16	16	10	26	45	18	18	18	18	12	24	67	6	32	20	24	24	15	26	23	28	20	35	16	19	16	21	23	17
(null)	OG0000014	42	92	48	51	29	36	28	35	31	34	86	24	49	26	37	33	28	11	96	34	40	27	14	44	31	40	37	57	48	27	36	17	18	30	51	99	28	35
(null)	OG0000015	41	65	54	57	17	16	13	25	8	15	44	21	44	27	26	45	28	22	35	13	45	39	36	38	28	34	12	52	31	34	38	31	22	44	16	37	44	18
(null)	OG0000016	9	35	17	23	15	16	15	10	7	16	13	22	54	20	26	25	19	21	23	13	36	22	25	24	19	15	23	34	62	20	51	32	17	21	12	31	30	18
(null)	OG0000017	16	16	24	29	17	14	15	17	13	16	15	13	19	27	16	21	20	14	21	17	45	8	19	18	23	22	11	31	18	19	18	13	16	18	17	12	15	10
(null)	OG0000018	21	33	24	26	15	18	22	14	11	24	28	38	28	21	21	23	30	11	16	18	43	29	45	30	16	34	10	41	30	17	28	25	25	22	15	20	36	13
(null)	OG0000019	12	27	21	26	20	17	16	19	16	20	20	11	24	28	29	18	22	14	21	21	48	13	20	19	22	24	12	26	21	25	28	21	23	17	20	13	28	11
(null)	OG0000020	10	21	14	32	11	12	13	10	10	19	18	21	18	23	17	15	20	7	11	10	39	13	15	16	21	16	16	37	30	22	17	5	14	14	10	9	13	11
(null)	OG0000021	13	18	19	31	11	11	10	25	13	11	18	12	70	10	12	19	13	15	13	15	23	1	11	19	18	12	20	18	28	16	11	15	9	38	16	19	6	12
(null)	OG0000023	28	13	26	35	11	13	11	14	8	17	62	13	23	26	24	25	27	19	23	14	16	16	39	32	24	23	4	26	19	33	37	30	22	10	20	8	49	7
(null)	OG0000024	15	18	40	30	23	25	19	21	17	20	25	13	33	23	16	28	30	14	28	21	55	1	15	34	40	26	9	31	20	30	19	18	22	22	20	15	12	21
(null)	OG0000026	5	8	7	13	6	6	6	6	6	7	7	4	10	10	16	9	7	6	8	7	26	9	10	9	8	9	5	13	19	11	11	6	11	6	7	5	11	5
(null)	OG0000027	11	13	15	15	10	8	9	7	10	6	11	6	15	11	19	12	13	6	13	7	22	6	15	12	13	10	39	10	13	12	11	4	8	5	6	7	19	7
(null)	OG0000028	12	17	40	29	14	12	10	11	16	14	26	23	68	13	20	62	42	11	9	17	43	24	16	45	46	40	33	39	65	32	56	17	42	40	11	59	18	11
(null)	OG0000029	3	1	1	1	1	2	0	0	1	0	0	0	0	2	4	0	1	3	1	0	5	0	5	2	0	1	0	0	6	0	1	3	1	0	1	0	2	2
(null)	OG0000030	22	40	14	43	4	6	7	13	0	13	0	9	14	55	19	30	6	3	7	16	31	11	22	14	9	13	2	29	4	18	65	7	16	10	15	16	28	6
(null)	OG0000032	4	7	6	8	6	6	8	5	5	6	5	5	42	11	9	5	7	11	6	4	25	4	12	6	6	9	9	16	33	9	11	16	8	15	6	15	13	5
(null)	OG0000033	2	39	2	18	13	10	10	27	2	15	13	54	20	33	9	6	14	0	17	7	22	7	22	10	4	13	46	17	96	40	28	0	5	24	18	23	21	17
(null)	OG0000034	4	2	6	3	3	2	2	3	1	4	3	3	13	6	2	3	5	1	1	2	7	3	4	6	5	2	0	9	1	2	5	1	7	5	2	1	5	1
(null)	OG0000035	8	7	8	33	7	6	6	10	2	7	12	9	16	9	4	10	7	1	35	6	11	4	3	8	7	9	1	15	1	29	74	4	49	12	10	7	1	7
(null)	OG0000036	9	28	20	16	27	33	28	8	7	36	31	4	22	16	27	17	19	18	22	6	18	3	18	23	19	15	12	18	18	13	40	18	6	15	9	19	5	7
(null)	OG0000037	3	13	5	16	7	7	16	2	5	10	8	3	8	20	7	6	12	4	5	4	22	3	27	8	11	14	2	11	10	11	11	4	5	8	5	2	24	6
(null)	OG0000039	43	9	13	31	24	25	21	3	2	26	63	10	3	21	17	20	29	23	20	15	20	18	30	28	25	39	10	38	12	46	24	24	14	10	6	13	47	6
(null)	OG0000040	12	13	11	20	14	12	12	10	12	12	13	8	23	18	18	11	11	17	20	13	28	10	16	11	11	19	25	14	49	15	15	22	15	14	11	11	18	9
(null)	OG0000042	5	19	14	24	9	11	8	8	4	9	11	14	16	17	19	12	11	9	20	8	42	15	21	13	14	12	10	17	29	19	18	11	11	14	11	9	15	12
(null)	OG0000043	12	27	15	17	13	13	17	16	11	12	13	17	20	12	12	13	16	13	14	15	29	9	14	14	14	13	8	20	19	21	13	15	7	16	26	21	14	13
(null)	OG0000044	4	12	15	23	9	9	10	4	4	11	12	15	10	11	13	13	8	8	3	5	26	7	14	13	15	24	2	13	29	15	20	8	6	14	9	14	14	7
(null)	OG0000045	0	0	3	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	1	0	0	0	2	3	10	1	0	0	1	0	0	0	0	0	1	1	0	0
(null)	OG0000046	13	14	38	31	15	15	15	13	10	17	11	13	14	15	36	46	36	7	17	12	48	13	19	37	44	22	6	40	25	16	25	11	18	16	13	14	14	13
(null)	OG0000048	18	27	12	19	42	24	26	8	4	46	9	15	15	48	11	8	11	13	12	12	24	5	10	13	15	10	21	20	49	16	21	16	15	14	7	34	11	10
(null)	OG0000049	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	1	0	2	0	0	0	7	0	37	0	3	1	1	0	0	6	11	0
(null)	OG0000050	1	0	7	0	16	5	9	0	0	38	1	5	5	0	2	2	2	0	2	1	0	0	1	7	24	1	0	6	0	0	3	0	2	5	0	0	9	0
(null)	OG0000051	10	41	29	32	22	14	21	15	17	21	19	18	32	9	19	39	27	7	23	8	40	24	10	31	27	25	12	26	15	26	24	12	15	25	13	16	28	8
(null)	OG0000052	2	3	2	62	2	4	2	0	0	3	0	1	2	1	0	1	4	0	0	1	2	0	1	2	2	0	0	2	2	0	27	0	27	0	0	14	0	1
(null)	OG0000053	5	22	7	28	18	14	23	6	5	26	11	39	9	19	16	9	8	9	8	3	25	7	11	20	10	4	4	12	41	19	20	10	6	6	6	4	21	10
(null)	OG0000054	21	14	20	22	15	14	16	6	6	17	12	11	18	55	16	16	12	8	12	15	33	11	15	14	15	15	7	23	19	16	25	13	9	9	10	11	12	9
(null)	OG0000055	14	13	16	14	13	11	10	9	8	13	12	10	21	12	12	18	13	11	10	11	37	12	13	26	17	13	5	14	9	15	11	11	11	12	11	9	11	10
(null)	OG0000056	10	9	7	34	8	6	8	4	7	12	19	19	22	71	25	9	10	5	15	5	36	15	15	9	7	4	2	12	10	22	48	7	19	11	6	4	7	4
(null)	OG0000057	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(null)	OG0000059	0	3	2	1	1	2	1	1	0	1	4	0	0	3	1	1	1	0	2	2	1	0	4	3	1	2	2	1	7	0	1	0	1	0	1	1	1	1
(null)	OG0000062	3	4	7	16	4	5	4	4	2	5	5	1	14	11	6	4	2	2	3	5	12	9	5	2	6	4	1	10	38	10	6	3	4	4	3	2	7	3
(null)	OG0000064	11	11	17	18	12	11	14	10	11	17	13	5	21	18	8	18	16	15	14	14	43	2	10	26	18	1	4	18	7	15	19	11	11	18	12	9	10	14
(null)	OG0000066	4	76	29	59	12	14	8	31	14	13	65	24	15	17	12	27	8	6	15	22	19	8	3	14	8	50	34	49	52	46	12	11	13	21	61	31	3	23
(null)	OG0000067	6	58	4	17	7	30	74	0	0	48	3	1	0	3	4	1	10	8	0	39	2	8	9	1	1	21	0	2	7	18	34	16	0	0	4	2	6	3
(null)	OG0000068	6	11	9	18	9	9	9	8	8	11	11	9	8	11	10	8	8	5	13	10	23	11	12	10	12	11	10	14	18	15	17	7	10	8	8	10	9	10
(null)	OG0000069	9	20	24	16	14	12	10	11	7	20	10	11	26	14	15	16	17	8	18	15	43	11	15	18	21	6	28	29	51	19	18	6	13	22	14	13	18	13
(null)	OG0000070	27	24	22	16	94	51	46	3	2	80	24	8	16	11	8	14	35	15	10	1	19	2	17	29	25	15	13	18	30	9	17	18	3	10	4	12	8	2
(null)	OG0000071	0	43	0	0	3	22	46	2	1	48	0	16	13	2	5	59	2	1	2	0	0	15	6	2	0	4	7	4	57	16	21	8	25	0	5	1	0	0
(null)	OG0000072	8	13	11	13	8	8	8	14	9	7	9	8	19	32	19	11	12	14	9	10	21	9	13	11	11	0	9	19	25	15	12	16	8	14	8	10	27	9
(null)	OG0000073	15	14	23	26	10	13	11	10	10	12	11	10	19	14	13	22	17	5	10	11	44	6	12	18	18	1	7	17	12	19	13	11	16	20	11	7	10	13
(null)	OG0000074	23	6	25	22	10	7	6	5	4	11	15	19	14	23	20	28	7	7	21	3	21	9	22	14	33	10	0	60	3	12	47	4	8	5	3	11	19	4
(null)	OG0000075	9	25	11	13	7	7	7	11	6	10	9	5	27	13	9	9	16	10	13	11	26	7	13	8	9	9	9	14	13	15	17	18	13	9	8	9	17	11
(null)	OG0000076	4	24	14	21	22	20	15	15	9	29	20	12	19	8	12	8	26	11	24	12	22	9	7	21	10	21	7	23	20	26	14	10	12	13	9	7	8	9
(null)	OG0000078	5	9	9	15	9	9	7	7	6	10	8	10	5	17	14	7	9	4	17	9	24	2	4	11	8	10	7	10	12	16	11	5	11	4	10	6	10	8
(null)	OG0000079	12	17	16	13	20	10	15	11	6	15	17	10	14	17	14	11	23	2	11	9	18	13	14	9	10	15	7	26	17	11	11	2	8	10	16	10	14	7
(null)	OG0000080	18	14	20	20	6	7	6	25	12	6	51	11	16	22	15	14	10	8	15	11	24	9	2	21	33	24	11	18	22	23	56	10	9	9	19	16	2	12
(null)	OG0000081	14	15	12	36	13	11	11	16	12	26	45	33	22	44	30	11	14	14	22	16	21	22	13	12	13	11	15	15	34	24	71	25	22	19	16	28	12	9
(null)	OG0000083	13	4	9	19	18	11	17	27	0	26	56	5	15	17	6	12	8	8	5	2	16	6	8	9	10	11	18	27	57	19	13	4	5	10	5	9	5	3
(null)	OG0000084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
