Desc	Orthogroup	Acar	Ajap	Amis	Anja	Arub	Asin	Bbom	Bbuf	Blan	Cint	Clup	Cmil	Cpic	Cpla	Cpor	Cser	Ctig	Drer	Ebur	Emac	Ggal	Ggan	Gser	Hsap	Lcha	Leri	Mdom	Muni	Npar	Oana	Pann	Pmeg	Psin	Pwal	Rbiv	Rtem	Sbom	Skow	Sorb	Spur	Tcar	Tgut	Ttru	Xlae	Xtro
(null)	OG0000012	48	34	44	40	31	50	48	46	96	52	49	46	49	50	50	51	54	60	37	53	49	48	49	45	49	48	48	52	52	42	59	19	46	57	52	54	46	77	55	38	55	46	48	87	44
(null)	OG0000015	20	70	15	36	28	12	16	17	41	55	24	21	37	16	9	14	15	18	13	19	13	9	14	19	19	25	20	21	16	16	26	14	16	40	15	19	14	62	28	59	18	11	17	21	13
(null)	OG0000016	15	49	19	31	30	17	21	23	66	11	21	15	18	13	16	17	19	31	17	18	29	16	14	17	19	13	16	17	26	16	20	16	17	21	16	29	20	65	33	31	21	18	17	37	20
(null)	OG0000017	38	22	39	20	22	33	45	43	27	23	55	39	36	44	24	41	44	58	43	39	34	29	45	46	45	44	34	48	42	37	45	45	28	47	45	47	45	40	54	22	44	35	41	85	46
(null)	OG0000018	22	29	22	32	34	21	25	25	26	33	25	29	25	42	22	20	21	36	33	22	21	20	26	19	26	30	20	26	26	19	27	17	17	44	24	24	25	23	45	38	18	19	18	35	23
(null)	OG0000019	26	21	33	24	25	31	38	39	30	15	42	32	34	30	22	33	33	47	28	34	39	31	35	39	34	33	33	36	33	33	39	42	32	35	33	41	35	32	44	34	36	34	34	75	40
(null)	OG0000020	27	52	26	31	23	26	25	27	23	27	36	29	24	29	28	25	26	42	34	26	29	24	26	25	33	26	26	27	27	22	28	24	24	27	27	25	25	24	37	45	27	26	26	47	25
(null)	OG0000021	17	12	16	19	19	18	13	14	63	28	27	21	20	16	13	17	21	19	22	21	24	15	15	16	14	16	23	14	15	19	19	17	19	16	18	20	12	37	21	35	18	13	18	28	13
(null)	OG0000022	12	40	12	22	29	11	11	18	28	10	21	11	12	10	10	11	10	13	12	11	11	10	13	11	13	11	12	13	13	12	13	16	12	17	13	10	11	50	17	43	12	9	12	11	11
(null)	OG0000023	14	24	16	25	40	16	12	12	44	18	16	11	18	13	13	16	18	22	15	18	18	12	15	14	19	12	14	14	12	11	14	18	15	23	16	11	12	65	19	46	18	14	15	25	11
(null)	OG0000024	29	15	28	22	18	25	33	31	30	13	41	32	37	35	27	34	33	36	29	34	39	24	31	34	36	36	28	36	31	29	35	38	22	32	36	35	33	28	44	21	35	33	34	66	34
(null)	OG0000027	29	30	34	17	16	32	30	30	20	18	39	35	32	34	30	33	29	38	24	30	35	27	30	31	33	34	32	33	31	32	34	30	27	35	34	29	30	19	40	15	33	27	30	65	34
(null)	OG0000028	25	5	26	10	10	25	23	20	37	8	26	21	25	23	25	21	26	36	15	25	25	26	17	23	22	23	26	18	20	24	26	28	25	35	18	21	20	45	40	8	30	26	26	37	23
