FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000012	0.674632	0.215648	0.0769269	0.789025	0.562139	0.264301	0.0391926	0.00101354	0.628515	0.835536	0.00199119	0.622945	0.000753394	4.34683e-07	5.05547e-05	3.72752e-17	0.95112	0.00941336	0.000390721	0.95938	0.0479474	2.17376e-06	0.170397	0.000773981	0.0096401	0.681073	0.00664823	0.961066	0.0135043	0.0898853	0.96044	0.180447	0.724227	0.145093	0.80445	0.728549	0.655551	0.803366	0.79022	0.706972	0.551886	0.414581	0.416331	0.00118858	N/A	0.0310282	0.00167783	0.792456	0.536119	0.202934	0.793964	2.56177e-11	0.195097	0.696098	2.15617e-06	0.855391	0.37255	0.021361	0.0824996	0.883486	0.537432	0.372836	0.105223	0.0261652	0.272794	0.205028	0.445946	0.00944865	0.0437776	0.833384	0.0360108	0.16105	0.28654	0.217396	0.916647	0.653336	0.573389	0.400354	0.834946	0.684016	0.602616	0.924034	0.925497	0.86875	0.856895	0.591158	0.41344
OG0000017	0.494134	0.621839	0.0548713	0.689156	0.756337	0.103354	0.103354	0.051259	0.0469627	0.265468	0.654292	0.747527	0.562202	0.00332037	0.8617	0.382335	0.754289	0.950212	0.466995	0.70328	1.19656e-06	0.653768	0.730024	0.069949	8.02798e-06	0.427635	0.280254	0.846593	0.177714	0.402086	0.0563684	0.841632	0.755511	0.121478	0.205149	0.951901	0.586083	0.483336	0.120086	0.450065	0.121676	0.570784	0.492026	7.25816e-06	N/A	0.00072656	4.09504e-06	0.833384	0.550758	0.285487	0.335693	9.06716e-07	0.148981	0.882855	0.000488413	0.827896	0.819306	0.0801634	0.109428	0.412456	0.797201	0.325353	0.923175	0.131669	0.217422	0.0144837	0.297126	0.542231	0.522686	0.787445	0.120227	0.829028	0.875231	0.532429	0.685146	0.546208	0.4756	0.293334	0.784499	0.359954	0.573206	0.720667	0.903777	0.824336	0.286101	0.0155869	0.346837
OG0000019	0.223639	0.631286	0.4077	0.896712	0.966008	0.0464511	0.161095	0.0195646	0.0731685	0.182246	0.0325085	0.947501	0.100981	0.000273711	0.0851928	0.866104	0.00123074	0.0115194	0.466995	0.614568	0.000564728	0.557019	0.70698	0.000643455	0.0433112	0.946593	0.0102563	0.951656	0.202845	0.762119	0.951462	0.668909	0.134956	0.368116	0.24473	0.697558	0.166392	0.595865	0.0656086	0.332537	0.481625	0.951474	0.857888	6.83125e-05	N/A	5.33103e-05	1.02259e-05	0.838773	0.553343	0.138213	0.352994	0.000250517	0.54333	0.158801	2.86751e-05	0.822711	0.813885	0.000982254	0.115754	0.161547	0.805964	0.835472	0.777396	0.390977	0.48425	0.0381998	0.289232	0.0678892	0.266807	0.797201	0.268674	0.345763	0.883313	0.556924	0.703071	0.841314	0.235053	0.912233	0.802513	0.222748	0.58492	0.740621	0.740845	0.836488	0.311684	0.0651759	0.117099
OG0000020	0.297265	0.420404	0.193315	0.357035	0.853535	0.420651	0.0963991	0.166056	0.543268	0.83919	0.01635	0.161452	0.132702	0.217406	0.000500147	0.000335106	0.177815	0.000973077	0.000637511	0.574701	0.0101488	0.398146	0.360172	0.458497	7.58061e-12	0.0236307	0.00137559	0.0102187	0.000380104	0.0495978	0.207348	0.14808	0.717454	0.796136	0.00231194	0.16635	0.0114124	0.303508	0.0398687	0.0681609	0.225493	0.0704995	0.498963	6.84442e-07	N/A	0.445256	0.007877	0.75766	0.527821	0.405481	0.755927	2.56177e-11	0.195097	0.894646	3.49292e-09	0.414688	0.859917	0.0266378	0.325075	0.222544	0.836138	0.149441	0.30346	0.467536	0.904294	0.382901	0.212678	0.400374	0.0535037	0.841295	7.57412e-05	0.176487	0.034967	0.000304656	0.772307	0.672928	0.745713	0.781378	0.837468	0.00634936	0.621095	0.00899287	0.0392691	0.840061	0.825133	0.258282	0.107472
OG0000024	0.933456	0.552793	0.35961	0.422859	0.788174	0.255182	0.255182	0.169239	0.240843	0.785242	0.000155042	0.378228	0.0926336	0.0033554	0.594607	0.858218	0.144284	0.087372	0.223613	0.157178	0.00309076	0.455696	0.957168	0.14889	5.56414e-12	0.828276	0.00604102	0.460038	0.736904	0.0583682	0.94718	0.387454	0.128251	0.426835	0.85589	0.431634	0.951901	0.307834	0.135085	0.947522	0.947121	0.841762	0.469385	0.00812293	N/A	0.0310282	0.00167783	0.792456	0.536119	0.469032	0.789354	0.00362612	0.70424	0.36529	0.00021081	0.811025	0.27408	0.00756932	0.096734	0.139426	0.792456	0.316587	0.92165	0.373737	0.468128	0.0105584	0.272714	0.31235	0.0939726	0.787445	0.120227	0.829028	0.647988	0.896863	0.67841	0.824342	0.209135	0.302728	0.789354	0.616204	0.573206	0.558947	0.736093	0.83269	0.81708	0.507925	0.322985
OG0000027	0.792979	0.871226	0.418865	0.422859	0.957182	0.481197	0.11706	8.72329e-10	0.223956	0.1192	0.661888	0.850041	0.285235	0.675253	4.17705e-05	0.000348508	0.847966	0.949251	0.695211	0.0827097	6.90456e-06	0.764748	0.963446	0.293121	8.43645e-05	0.603853	0.0675649	0.0907796	0.0907796	0.636283	0.44274	0.186538	0.457449	0.0939101	0.748274	0.178632	0.479911	0.318285	0.104806	0.614933	0.426397	0.114955	0.840384	1.75633e-07	N/A	0.107192	0.000412997	0.792456	0.536119	0.469032	0.789354	1.91219e-10	4.64813e-05	0.910289	0.0373294	0.832702	0.824342	0.20984	0.242677	0.146882	0.797201	0.325353	0.773298	0.131669	0.0128102	0.00015718	0.524747	0.569118	0.522686	0.465679	0.11285	0.824541	0.872133	0.10844	0.338591	0.526407	0.880679	0.900662	0.773989	0.593323	0.565923	0.708795	0.899152	0.81481	0.797785	0.0742639	0.0833878
OG0000028	0.0316861	0.14382	0.261644	0.347294	0.79117	0.929453	0.534481	0.329684	0.265468	0.00072943	2.00322e-05	0.44354	7.86736e-05	7.51433e-08	0.314867	0.110369	0.217593	0.269145	0.45902	0.0110152	2.22671e-06	0.2081	0.362667	0.218451	0.000457136	0.801311	0.0179768	0.00153308	0.0298921	0.510693	0.712582	0.8247	0.3999	0.110887	0.71002	0.602242	0.502927	0.114498	0.7788	0.637378	0.159436	0.307945	0.32068	3.59657e-05	N/A	0.64513	0.598197	0.674851	0.514943	0.795568	0.667107	0.000250517	0.0776207	0.460184	0.0193994	0.804423	0.262263	0.0585014	0.00128844	0.139426	0.792456	0.316587	0.768965	0.125496	0.0772419	8.22667e-06	0.0508848	0.179212	0.885189	0.41135	0.185315	0.796644	0.85225	0.881851	0.870911	0.801724	0.617354	0.471382	0.734556	0.532143	0.550758	0.121957	0.633819	0.74969	0.730367	0.348174	0.192687
OG0000033	1.50547e-22	0.0386133	0.884516	0.0948384	6.85065e-05	0.305754	0.0103432	0.596477	0.183485	0.000240699	0.027118	0.371767	0.000999498	0.00050913	9.93107e-09	0.440179	0.0023818	0.189302	0.231976	0.75307	0.00384157	0.256335	0.0539152	5.74053e-10	2.64305e-16	0.00154827	5.28463e-06	0.28382	0.0393064	0.0321749	0.137004	0.0619589	0.197016	0.0296227	6.29506e-07	0.478721	0.171524	0.0110585	0.135085	0.00794179	0.319732	0.456468	0.632239	0.538479	N/A	9.04762e-14	0.955703	0.81752	0.544194	0.894889	0.29075	5.16823e-17	0.0867586	0.303343	1.55983e-09	0.18486	0.443452	0.0363343	0.00030328	0.00229318	0.422853	0.488734	0.00207393	0.712662	0.263847	0.14483	0.00118139	1.14857e-06	0.150453	0.000577963	3.41758e-10	0.850662	0.147099	0.724751	0.377272	0.195466	0.259134	0.603461	0.813859	0.000144252	0.611009	0.0334224	0.736093	0.83269	0.81708	0.892608	0.822692
OG0000034	0.885705	0.364156	0.364156	0.760841	0.5	0.5	0.5	0.610591	0.603245	0.125884	0.000642804	0.595947	1.10175e-18	0.0593754	2.59938e-09	1.29863e-05	0.00662002	0.175734	6.21798e-10	0.345945	0.0985129	0.043046	0.203914	0.109606	1.44932e-14	0.379049	0.265665	0.0136806	2.35091e-05	0.887966	0.00753329	0.0990471	0.00239874	0.00655839	0.4334	0.130738	0.37427	8.77609e-09	0.034009	0.0533625	0.620416	0.41315	0.721302	0.199793	N/A	0.0397993	0.0218404	0.523592	0.501525	0.0849963	0.5	0.00199314	0.678269	0.828813	1.03714e-07	0.0818417	0.00627251	0.185035	0.764327	0.843755	0.423287	0.792166	0.00662955	0.302576	0.608891	0.208114	0.00108544	0.147992	1.38937e-08	0.827484	0.189327	0.150513	0.00205693	0.000206847	0.919749	0.881952	0.420373	0.762881	0.820575	0.433267	0.593924	0.133889	1.48417e-09	0.0438294	0.363229	0.0218512	0.689414
OG0000036	0.784359	0.847824	0.278622	0.657443	0.559934	0.170471	0.646477	0.250462	0.0528318	0.000820699	0.769947	0.225598	0.044604	0.0458435	6.92281e-06	9.86522e-05	0.00235096	0.0966794	0.0258293	0.147955	0.240102	0.0693722	0.16594	0.273408	2.29787e-06	0.846593	8.02682e-07	7.1121e-05	0.272209	0.0215452	0.0648591	0.00015784	0.781815	0.0420154	0.000106125	0.659556	0.0716477	0.0347306	0.709461	0.559905	0.268704	0.00490741	0.959685	1.92874e-07	N/A	0.181687	0.0406544	0.750584	0.526416	0.856611	0.742091	4.57873e-09	0.0785062	0.505354	9.46003e-05	0.355222	0.346423	0.0967718	0.797201	0.627418	0.0598564	0.517301	0.45673	0.832702	0.626797	0.230062	0.00602674	0.193407	0.00256212	0.824321	0.00443038	0.0773771	0.00764828	0.228495	0.0927707	0.486758	0.906686	0.495208	0.826705	0.0804569	0.604742	0.920797	0.212785	0.429513	0.401601	0.180241	0.0983444
