#Taxon_ID	Increase	Decrease
Aste<3>	3309	1664
Dcar<4>	1238	3440
<54>	227	434
<50>	497	523
<46>	591	281
Bcal<1>	716	3354
<77>	173	326
Rsoc<5>	1431	2474
<51>	77	5
Rsor<6>	3167	1198
Rota<7>	4053	804
<47>	3883	905
<48>	44	7
<69>	319	1062
<53>	1615	2092
Mlig<8>	4375	875
Aric<2>	2052	2540
<52>	126	19
Mvul<21>	2631	478
<70>	7	294
Myes<32>	453	1431
Lluy<18>	1270	476
<71>	65	1753
Paus<12>	934	1701
Eand<20>	1460	916
Lana<13>	2241	963
Pesc<15>	1562	1590
<58>	122	184
<59>	91	570
Llon<14>	3986	1308
Ctel<19>	1324	1422
<65>	528	542
<60>	129	305
Smed<9>	1991	1628
Pcro<10>	1121	1813
<55>	213	381
<56>	110	1315
Bner<11>	1721	2138
<61>	9	306
<57>	82	6
Dgyr<16>	424	2879
<64>	203	230
<62>	86	112
<63>	332	1313
Lgig<33>	652	1052
<67>	128	1325
Pech<17>	536	1590
Hrob<22>	850	981
<66>	1061	333
<68>	74	597
Hmed<24>	696	1668
Cuni<43>	1265	755
Cgig<31>	885	895
Hman<23>	984	804
Gaeg<36>	779	1104
Bgla<41>	441	1127
Gmag<37>	1348	811
Mcal<30>	730	907
<76>	24	24
Ppel<34>	3253	511
<75>	127	362
<72>	156	174
<73>	248	647
Mmer<28>	1215	666
Dpol<29>	1531	690
Obim<26>	891	680
Aful<42>	884	1112
Spha<27>	374	2065
Mcor<38>	576	1078
<83>	240	276
Acal<39>	578	1041
<84>	26	61
<74>	402	292
<78>	303	621
Hhan<25>	3097	1165
<79>	32	86
<80>	410	399
Hrub<35>	961	784
<87>	262	2
<82>	143	509
Echl<40>	900	1219
<85>	99	106
<86>	1019	192
Oida<44>	2897	725
