FamilyID	Bcal<1>	Aric<2>	Aste<3>	Dcar<4>	Rsoc<5>	Rsor<6>	Rota<7>	Mlig<8>	Smed<9>	Pcro<10>	Bner<11>	Paus<12>	Lana<13>	Llon<14>	Pesc<15>	Dgyr<16>	Pech<17>	Lluy<18>	Ctel<19>	Eand<20>	Mvul<21>	Hrob<22>	Hman<23>	Hmed<24>	Hhan<25>	Obim<26>	Spha<27>	Mmer<28>	Dpol<29>	Mcal<30>	Cgig<31>	Myes<32>	Lgig<33>	Ppel<34>	Hrub<35>	Gaeg<36>	Gmag<37>	Mcor<38>	Acal<39>	Echl<40>	Bgla<41>	Aful<42>	Cuni<43>	Oida<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>
OG0000012	15	19	33	23	29	32	37	37	20	21	15	31	46	63	56	1	28	18	57	42	52	67	24	15	50	28	19	43	56	49	39	32	39	48	41	38	42	40	40	37	36	36	37	57	10	14	25	25	25	27	27	20	23	22	28	28	29	31	33	33	32	33	28	37	39	42	41	32	36	36	30	38	40	43	40	39	39	41	39	40	40	39	39	39	39	40	41
OG0000017	19	38	47	33	39	48	48	26	26	15	22	19	23	39	26	22	28	27	32	35	63	26	27	17	46	17	16	24	30	26	15	21	28	33	32	27	29	21	18	21	19	32	28	52	10	17	36	36	36	38	39	16	19	19	21	21	21	23	25	26	26	27	27	29	31	37	28	26	24	24	20	24	24	25	23	22	25	27	25	27	27	24	24	24	25	30	31
OG0000019	23	40	42	38	40	54	50	8	23	21	12	19	26	44	36	28	15	38	32	37	52	29	23	8	35	23	14	28	33	27	26	24	35	25	37	30	38	30	20	23	25	32	33	53	10	19	38	38	38	41	42	14	15	17	20	20	20	24	26	28	28	28	27	29	30	35	27	22	26	26	23	27	27	28	26	26	29	29	29	32	32	28	27	27	28	32	34
OG0000020	8	22	24	15	20	23	27	28	25	22	44	25	39	41	57	20	35	60	60	39	55	32	27	28	85	18	15	73	80	56	37	36	37	40	67	41	64	28	20	21	23	23	29	56	10	11	19	19	19	20	20	20	23	23	31	32	32	34	35	37	37	39	42	40	40	42	36	33	39	39	27	41	46	57	45	44	40	39	40	49	49	33	28	28	28	30	32
OG0000024	14	27	29	28	24	31	31	8	16	12	6	22	25	36	27	25	20	33	32	40	48	22	21	15	63	19	11	20	24	15	22	25	34	31	26	30	27	31	20	26	26	26	25	39	10	14	25	25	25	26	26	13	12	13	18	18	19	21	23	25	25	26	26	27	28	34	25	22	24	24	20	24	23	23	22	22	26	28	26	27	27	27	26	26	26	27	28
OG0000027	12	25	28	28	25	29	33	65	36	24	23	22	26	25	47	12	25	26	27	53	70	33	29	24	43	17	13	33	33	19	17	15	20	29	25	29	21	18	16	20	19	19	26	51	10	13	25	25	25	26	26	19	31	31	22	22	22	23	24	26	26	27	26	29	34	44	32	30	24	23	19	23	23	26	21	20	23	23	23	24	24	22	22	22	22	25	27
OG0000028	4	14	13	7	10	9	11	21	15	32	4	15	35	51	29	18	20	29	31	56	70	21	17	16	34	14	8	30	11	20	19	17	15	23	19	16	20	9	12	14	9	11	12	29	10	9	10	10	10	10	10	14	18	19	17	17	18	19	23	25	25	26	25	28	31	43	26	22	19	18	15	18	18	18	18	18	17	18	17	18	18	14	13	13	13	14	15
OG0000033	96	42	31	22	13	37	46	31	25	49	50	34	58	67	94	48	86	74	60	52	71	44	14	1	91	5	2	30	18	34	17	16	27	43	75	40	51	17	20	37	22	23	24	28	10	31	31	31	31	31	32	24	29	31	36	38	39	39	45	52	53	54	66	53	50	54	39	23	35	30	13	30	27	26	25	23	32	33	32	44	44	27	26	26	26	26	26
OG0000034	5	0	0	1	0	0	0	11	11	6	9	27	81	13	50	5	6	9	51	24	27	7	5	4	85	26	25	69	81	42	58	34	20	46	32	43	40	62	9	8	13	7	8	6	8	5	1	1	1	0	0	11	10	10	19	21	25	20	20	20	19	19	13	20	19	21	12	9	34	34	30	36	43	54	43	43	34	33	34	36	36	30	15	13	12	9	9
OG0000036	11	18	22	19	15	23	19	26	16	37	23	31	35	35	48	9	10	26	31	28	27	10	7	8	60	24	8	68	39	59	37	70	35	25	63	43	32	26	37	37	46	31	47	77	10	12	18	18	18	18	18	18	22	23	24	25	26	26	26	25	23	22	20	22	21	23	15	12	33	33	25	36	42	45	46	47	36	34	36	41	41	36	39	40	41	44	47
