#FamilyID	Likelihood of Family
OG0000012	-315.007
OG0000017	-227.921
OG0000019	-236.471
OG0000020	-318.722
OG0000024	-217.391
OG0000027	-261.411
OG0000028	-246.645
OG0000033	-500.01
OG0000034	-385.901
OG0000036	-301.903
OG0000037	-222.851
OG0000039	-485.492
OG0000040	-195.262
OG0000042	-228.411
OG0000043	-230.582
OG0000044	-260.653
OG0000045	-78.9521
OG0000046	-272.463
OG0000047	-284.621
OG0000048	-210.865
OG0000049	-354.024
OG0000051	-295.933
OG0000052	-150.645
OG0000053	-306.144
OG0000054	-162.334
OG0000055	-178.723
OG0000056	-348.895
OG0000060	-334.472
OG0000062	-181.509
OG0000064	-140.194
OG0000066	-341.947
OG0000068	-182.442
OG0000069	-209.351
OG0000070	-373.811
OG0000072	-233.086
OG0000073	-173.961
OG0000074	-215.554
OG0000075	-197.89
OG0000076	-216.432
OG0000078	-148.069
OG0000079	-168.955
OG0000080	-256.728
OG0000081	-262.913
OG0000083	-255.412
OG0000085	-149.811
OG0000086	-165.717
OG0000087	-248.781
OG0000088	-201.482
OG0000090	-162.879
OG0000091	-176.916
OG0000092	-281.857
OG0000094	-197.713
OG0000095	-406.327
OG0000097	-194.59
OG0000098	-281.429
OG0000099	-181.865
OG0000100	-260.55
OG0000101	-143.929
OG0000102	-285.239
OG0000103	-187.147
OG0000105	-174.358
OG0000106	-240.692
OG0000107	-197.47
OG0000108	-241.54
OG0000111	-150.381
OG0000113	-198.049
OG0000114	-262.911
OG0000115	-309.424
OG0000116	-242.377
OG0000118	-199.373
OG0000119	-324.707
OG0000120	-179.535
OG0000121	-203.98
OG0000122	-219.56
OG0000123	-258.127
OG0000124	-221.761
OG0000125	-193.577
OG0000126	-147.163
OG0000127	-180.061
OG0000128	-327.686
OG0000129	-173.492
OG0000130	-169.763
OG0000132	-177.084
OG0000134	-133.897
OG0000136	-102.342
OG0000137	-157.892
OG0000138	-293.061
OG0000139	-259.052
OG0000141	-135.591
OG0000142	-128.327
OG0000143	-145.133
OG0000144	-205.37
OG0000145	-329.219
OG0000146	-349.781
OG0000147	-88.7853
OG0000148	-124.098
OG0000150	-213.7
OG0000151	-196.789
OG0000152	-267.619
OG0000153	-131.324
OG0000154	-209.219
OG0000156	-225.637
OG0000157	-169.314
OG0000158	-125.923
OG0000159	-281.524
OG0000160	-174.711
OG0000161	-125.238
OG0000162	-220.759
OG0000164	-154.592
OG0000165	-177.026
OG0000167	-130.922
OG0000168	-261.199
OG0000169	-252.216
OG0000170	-227.99
OG0000171	-219.662
OG0000172	-195.553
OG0000173	-148.445
OG0000174	-119.381
OG0000175	-197.913
OG0000176	-127.74
OG0000178	-199.708
OG0000179	-151.34
OG0000180	-132.447
OG0000181	-145.339
OG0000182	-145.343
OG0000183	-48.5939
OG0000184	-138.411
OG0000185	-132.075
OG0000186	-108.651
OG0000188	-304.141
OG0000189	-152.01
OG0000191	-170.064
OG0000192	-113.664
OG0000194	-108.748
OG0000195	-176.688
OG0000197	-181.974
OG0000198	-233.91
OG0000199	-122.605
OG0000200	-225.925
OG0000201	-110.468
OG0000202	-231.787
OG0000204	-134.786
OG0000205	-135.228
OG0000206	-223.702
OG0000207	-157.61
OG0000208	-212.77
OG0000209	-331.508
OG0000210	-190.953
OG0000211	-135.852
OG0000212	-124.5
OG0000213	-173.631
OG0000214	-122.462
OG0000215	-113.599
OG0000216	-283.378
OG0000217	-109.409
OG0000218	-203.818
OG0000219	-200.392
OG0000220	-164.132
OG0000222	-177.152
OG0000225	-41.6616
OG0000226	-139.794
OG0000227	-143.923
OG0000229	-240.774
OG0000231	-156.541
OG0000232	-219.542
OG0000235	-285.513
OG0000236	-120.755
OG0000237	-111.83
OG0000238	-133.14
OG0000239	-198.031
OG0000240	-125.691
OG0000241	-130.807
OG0000242	-195.525
OG0000244	-144.134
OG0000246	-212.187
OG0000247	-91.1503
OG0000248	-232.741
OG0000249	-236.827
OG0000250	-145.766
OG0000251	-121.4
OG0000253	-163.199
OG0000255	-186.39
OG0000256	-183.629
OG0000257	-184.708
OG0000258	-123.882
OG0000259	-266.866
OG0000260	-126.376
OG0000261	-136.583
OG0000262	-156.456
OG0000263	-139.227
OG0000264	-135.062
OG0000266	-134.82
OG0000267	-140.448
OG0000268	-126.567
OG0000270	-159.599
OG0000272	-148.811
OG0000273	-186.132
OG0000274	-355.762
OG0000275	-111.449
OG0000277	-144.998
OG0000278	-498.946
OG0000279	-117.562
OG0000280	-94.5954
OG0000281	-111.113
OG0000282	-153.586
OG0000283	-113.108
OG0000284	-126.899
OG0000285	-162.811
OG0000286	-132.459
OG0000287	-179.698
OG0000288	-182.741
OG0000289	-107.125
OG0000292	-208.449
OG0000293	-254.494
OG0000295	-89.7929
OG0000297	-121.456
OG0000298	-165.293
OG0000299	-118.924
OG0000301	-151.231
OG0000302	-113.794
OG0000303	-110.307
OG0000305	-142.07
OG0000306	-110.369
OG0000308	-146.517
OG0000309	-162.215
OG0000311	-128.784
OG0000312	-115.372
OG0000314	-124.383
OG0000315	-163.751
OG0000316	-154.834
OG0000317	-122.589
OG0000318	-171.53
OG0000319	-111.97
OG0000321	-158.259
OG0000322	-141.398
OG0000324	-205.918
OG0000325	-130.953
OG0000326	-195.854
OG0000327	-117.219
OG0000328	-305.915
OG0000329	-149.498
OG0000330	-101.844
OG0000331	-136.956
OG0000332	-138.068
OG0000333	-157.262
OG0000334	-113.652
OG0000335	-113.207
OG0000336	-162.243
OG0000338	-108.296
OG0000340	-103.242
OG0000341	-145.129
OG0000342	-134.072
OG0000343	-112.301
OG0000344	-146.553
OG0000345	-92.2854
OG0000346	-145.017
OG0000347	-108.202
OG0000348	-141.691
OG0000350	-103.136
OG0000351	-112.269
OG0000352	-216.951
OG0000353	-107.339
OG0000354	-150.355
OG0000355	-101.275
OG0000356	-136.27
OG0000357	-282.675
OG0000358	-95.9873
OG0000359	-142.029
OG0000360	-120.106
OG0000361	-232.028
OG0000362	-128.4
OG0000363	-133.241
OG0000364	-101.562
OG0000365	-125.385
OG0000369	-104.276
OG0000370	-250.468
OG0000371	-138.475
OG0000372	-136.61
OG0000373	-126.054
OG0000374	-104.534
OG0000375	-109.865
OG0000378	-192.284
OG0000379	-84.3015
OG0000380	-112.694
OG0000381	-129.361
OG0000382	-95.0981
OG0000383	-140.481
OG0000384	-168.039
OG0000385	-185.478
OG0000387	-115.093
OG0000388	-189.705
OG0000389	-113.924
OG0000390	-169.807
OG0000393	-139.503
OG0000395	-117.088
OG0000396	-154.302
OG0000397	-112.453
OG0000399	-245.873
OG0000400	-103.717
OG0000401	-110.997
OG0000402	-91.0548
OG0000403	-131.184
OG0000404	-88.1302
OG0000405	-102.566
OG0000407	-111.723
OG0000408	-246.115
OG0000409	-182.841
OG0000410	-192.158
OG0000411	-93.8744
OG0000412	-138.843
OG0000414	-66.8345
OG0000415	-97.5526
OG0000416	-143.472
OG0000417	-119.265
OG0000419	-271.448
OG0000420	-250.767
OG0000422	-117.934
OG0000423	-173.622
OG0000424	-106.84
OG0000425	-38.7969
OG0000426	-202.731
OG0000427	-89.3632
OG0000428	-564.217
OG0000429	-85.2086
OG0000432	-98.3281
OG0000433	-127.576
OG0000434	-86.9453
OG0000435	-205.705
OG0000436	-99.9654
OG0000437	-112.185
OG0000438	-150.159
OG0000439	-114.622
OG0000440	-119.2
OG0000443	-144.556
OG0000444	-103.076
OG0000445	-90.7495
OG0000446	-120.21
OG0000447	-103.216
OG0000448	-335.842
OG0000449	-173.639
OG0000450	-130.709
OG0000451	-97.4057
OG0000452	-114.725
OG0000454	-111.268
OG0000455	-93.3666
