#FamilyID	pvalue	Significant at 0.05
OG0000012	0	y
OG0000017	0	y
OG0000019	0	y
OG0000020	0	y
OG0000024	0	y
OG0000027	0	y
OG0000028	0	y
OG0000033	0	y
OG0000034	0	y
OG0000036	0	y
OG0000037	0	y
OG0000039	0	y
OG0000040	0	y
OG0000042	0	y
OG0000043	0	y
OG0000044	0	y
OG0000045	0.868	n
OG0000046	0	y
OG0000047	0	y
OG0000048	0	y
OG0000049	0	y
OG0000051	0	y
OG0000052	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000056	0	y
OG0000060	0	y
OG0000062	0	y
OG0000064	0.064	n
OG0000066	0	y
OG0000068	0	y
OG0000069	0	y
OG0000070	0	y
OG0000072	0	y
OG0000073	0	y
OG0000074	0	y
OG0000075	0	y
OG0000076	0	y
OG0000078	0	y
OG0000079	0.002	y
OG0000080	0	y
OG0000081	0	y
OG0000083	0	y
OG0000085	0.007	y
OG0000086	0	y
OG0000087	0	y
OG0000088	0	y
OG0000090	0	y
OG0000091	0	y
OG0000092	0	y
OG0000094	0	y
OG0000095	0	y
OG0000097	0	y
OG0000098	0	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0.031	y
OG0000102	0	y
OG0000103	0	y
OG0000105	0	y
OG0000106	0	y
OG0000107	0	y
OG0000108	0	y
OG0000111	0	y
OG0000113	0	y
OG0000114	0	y
OG0000115	0	y
OG0000116	0	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0	y
OG0000121	0	y
OG0000122	0	y
OG0000123	0	y
OG0000124	0	y
OG0000125	0	y
OG0000126	0.008	y
OG0000127	0	y
OG0000128	0	y
OG0000129	0	y
OG0000130	0	y
OG0000132	0	y
OG0000134	0.235	n
OG0000136	0.649	n
OG0000137	0.006	y
OG0000138	0	y
OG0000139	0	y
OG0000141	0.317	n
OG0000142	0.033	y
OG0000143	0	y
OG0000144	0	y
OG0000145	0	y
OG0000146	0	y
OG0000147	0.744	n
OG0000148	0.003	y
OG0000150	0	y
OG0000151	0	y
OG0000152	0	y
OG0000153	0.381	n
OG0000154	0	y
OG0000156	0	y
OG0000157	0	y
OG0000158	0.047	y
OG0000159	0	y
OG0000160	0	y
OG0000161	0.116	n
OG0000162	0	y
OG0000164	0	y
OG0000165	0	y
OG0000167	0.128	n
OG0000168	0	y
OG0000169	0	y
OG0000170	0	y
OG0000171	0	y
OG0000172	0	y
OG0000173	0	y
OG0000174	0.637	n
OG0000175	0	y
OG0000176	0.128	n
OG0000178	0	y
OG0000179	0.001	y
OG0000180	0.134	n
OG0000181	0	y
OG0000182	0	y
OG0000183	0.999	n
OG0000184	0.011	y
OG0000185	0.301	n
OG0000186	0.608	n
OG0000188	0	y
OG0000189	0	y
OG0000191	0	y
OG0000192	0.515	n
OG0000194	0.431	n
OG0000195	0	y
OG0000197	0	y
OG0000198	0	y
OG0000199	0.002	y
OG0000200	0	y
OG0000201	0.558	n
OG0000202	0	y
OG0000204	0.004	y
OG0000205	0.005	y
OG0000206	0	y
OG0000207	0	y
OG0000208	0	y
OG0000209	0	y
OG0000210	0	y
OG0000211	0.072	n
OG0000212	0.076	n
OG0000213	0	y
OG0000214	0.053	n
OG0000215	0.1	n
OG0000216	0	y
OG0000217	0.049	y
OG0000218	0	y
OG0000219	0	y
OG0000220	0	y
OG0000222	0	y
OG0000225	0.999	n
OG0000226	0	y
OG0000227	0.001	y
OG0000229	0	y
OG0000231	0	y
OG0000232	0	y
OG0000235	0	y
OG0000236	0.257	n
OG0000237	0.933	n
OG0000238	0.094	n
OG0000239	0	y
OG0000240	0.107	n
OG0000241	0.035	y
OG0000242	0	y
OG0000244	0	y
OG0000246	0	y
OG0000247	0.678	n
OG0000248	0	y
OG0000249	0	y
OG0000250	0	y
OG0000251	0.273	n
OG0000253	0	y
OG0000255	0	y
OG0000256	0	y
OG0000257	0	y
OG0000258	0.005	y
OG0000259	0	y
OG0000260	0.539	n
OG0000261	0.001	y
OG0000262	0	y
OG0000263	0	y
OG0000264	0	y
OG0000266	0.017	y
OG0000267	0	y
OG0000268	0.106	n
OG0000270	0	y
OG0000272	0	y
OG0000273	0	y
OG0000274	0	y
OG0000275	0.024	y
OG0000277	0	y
OG0000278	0	y
OG0000279	0.343	n
OG0000280	0.815	n
OG0000281	0.245	n
OG0000282	0	y
OG0000283	0.58	n
OG0000284	0.02	y
OG0000285	0	y
OG0000286	0.004	y
OG0000287	0	y
OG0000288	0	y
OG0000289	0.874	n
OG0000292	0	y
OG0000293	0	y
OG0000295	0.995	n
OG0000297	0.008	y
OG0000298	0	y
OG0000299	0.056	n
OG0000301	0	y
OG0000302	0.186	n
OG0000303	0.775	n
OG0000305	0	y
OG0000306	0.604	n
OG0000308	0	y
OG0000309	0	y
OG0000311	0.116	n
OG0000312	0.436	n
OG0000314	0.064	n
OG0000315	0	y
OG0000316	0	y
OG0000317	0.023	y
OG0000318	0	y
OG0000319	0.727	n
OG0000321	0	y
OG0000322	0.004	y
OG0000324	0	y
OG0000325	0.005	y
OG0000326	0	y
OG0000327	0.136	n
OG0000328	0	y
OG0000329	0	y
OG0000330	0.979	n
OG0000331	0.004	y
OG0000332	0.005	y
OG0000333	0	y
OG0000334	0.554	n
OG0000335	0.061	n
OG0000336	0	y
OG0000338	0.625	n
OG0000340	0.46	n
OG0000341	0.003	y
OG0000342	0.034	y
OG0000343	0.056	n
OG0000344	0	y
OG0000345	0.993	n
OG0000346	0	y
OG0000347	0.571	n
OG0000348	0	y
OG0000350	0.638	n
OG0000351	0.143	n
OG0000352	0	y
OG0000353	0.862	n
OG0000354	0	y
OG0000355	0.812	n
OG0000356	0	y
OG0000357	0	y
OG0000358	0.46	n
OG0000359	0.006	y
OG0000360	0.008	y
OG0000361	0	y
OG0000362	0.005	y
OG0000363	0.166	n
OG0000364	0.999	n
OG0000365	0.057	n
OG0000369	0.94	n
OG0000370	0	y
OG0000371	0.004	y
OG0000372	0	y
OG0000373	0.004	y
OG0000374	0.817	n
OG0000375	0.386	n
OG0000378	0	y
OG0000379	0.997	n
OG0000380	0.129	n
OG0000381	0.005	y
OG0000382	0.435	n
OG0000383	0	y
OG0000384	0	y
OG0000385	0	y
OG0000387	0.287	n
OG0000388	0	y
OG0000389	0.39	n
OG0000390	0	y
OG0000393	0.001	y
OG0000395	0.277	n
OG0000396	0	y
OG0000397	0.068	n
OG0000399	0	y
OG0000400	0.789	n
OG0000401	0.058	n
OG0000402	0.999	n
OG0000403	0.044	y
OG0000404	0.986	n
OG0000405	0.216	n
OG0000407	0.103	n
OG0000408	0	y
OG0000409	0	y
OG0000410	0	y
OG0000411	0.924	n
OG0000412	0	y
OG0000414	0.998	n
OG0000415	0.736	n
OG0000416	0	y
OG0000417	0.035	y
OG0000419	0	y
OG0000420	0	y
OG0000422	0.21	n
OG0000423	0	y
OG0000424	0.448	n
OG0000425	0.999	n
OG0000426	0	y
OG0000427	0.995	n
OG0000428	0	y
OG0000429	0.996	n
OG0000432	0.878	n
OG0000433	0.004	y
OG0000434	0.999	n
OG0000435	0	y
OG0000436	0.763	n
OG0000437	0.173	n
OG0000438	0	y
OG0000439	0.067	n
OG0000440	0.001	y
OG0000443	0	y
OG0000444	0.876	n
OG0000445	0.983	n
OG0000446	0.093	n
OG0000447	0.621	n
OG0000448	0	y
OG0000449	0	y
OG0000450	0	y
OG0000451	0.976	n
OG0000452	0.095	n
OG0000454	0.205	n
OG0000455	0.991	n
OG0000456	0	y
OG0000457	0.835	n
OG0000458	0	y
OG0000459	0.027	y
OG0000460	0.082	n
OG0000461	0.464	n
OG0000462	0	y
OG0000463	0	y
OG0000464	0.991	n
OG0000465	0.417	n
OG0000466	0.009	y
OG0000467	0	y
OG0000468	0	y
OG0000469	0	y
OG0000471	0.828	n
OG0000472	0.177	n
OG0000473	0	y
OG0000474	0.725	n
OG0000475	0.024	y
OG0000476	0.572	n
OG0000477	0	y
OG0000479	0	y
OG0000480	0.338	n
OG0000482	0	y
OG0000483	0	y
OG0000485	0.007	y
OG0000486	0.999	n
OG0000487	0	y
OG0000488	0.02	y
OG0000490	0.974	n
OG0000491	0	y
OG0000492	0.951	n
OG0000493	0.245	n
OG0000494	0.401	n
OG0000495	0	y
OG0000496	0.65	n
OG0000497	0.888	n
OG0000498	0	y
OG0000499	0	y
OG0000500	0.209	n
OG0000501	0.979	n
OG0000502	0.98	n
OG0000503	0.972	n
OG0000504	0.961	n
OG0000505	0	y
OG0000506	0.755	n
OG0000507	0.005	y
OG0000508	0.798	n
OG0000509	0.816	n
OG0000510	0.795	n
OG0000511	0	y
OG0000512	0.993	n
OG0000513	0	y
OG0000515	0.691	n
OG0000516	0.76	n
OG0000517	0.986	n
OG0000518	0	y
OG0000519	0.781	n
OG0000520	0.947	n
OG0000521	0.079	n
OG0000522	0.651	n
OG0000525	0.073	n
OG0000526	0.311	n
OG0000528	0.854	n
OG0000529	0.989	n
OG0000530	0.056	n
OG0000531	0	y
OG0000532	0	y
OG0000535	0.979	n
OG0000536	0.448	n
OG0000537	0	y
OG0000538	0.999	n
OG0000539	0.375	n
OG0000540	0.342	n
OG0000541	0	y
OG0000542	0	y
OG0000543	0	y
OG0000544	0.344	n
OG0000547	0.999	n
OG0000548	0	y
OG0000549	0	y
OG0000550	0.529	n
OG0000551	0.576	n
OG0000552	0.999	n
OG0000554	0.067	n
OG0000555	0.738	n
OG0000556	0	y
OG0000557	0.999	n
OG0000558	0.341	n
OG0000561	0.157	n
OG0000562	0.047	y
OG0000563	0	y
OG0000564	0.905	n
OG0000565	0.991	n
OG0000566	0.899	n
OG0000568	0.001	y
OG0000569	0.986	n
OG0000570	0	y
OG0000571	0.962	n
OG0000572	0.003	y
OG0000573	0.344	n
OG0000575	0.358	n
OG0000576	0	y
OG0000577	0.959	n
OG0000578	0.984	n
OG0000580	0.394	n
OG0000581	0.036	y
OG0000582	0.571	n
OG0000583	0	y
OG0000584	0.054	n
OG0000585	0.304	n
OG0000586	0.999	n
OG0000587	0.057	n
OG0000588	0.004	y
OG0000589	0.917	n
OG0000590	0.988	n
OG0000591	0.1	n
OG0000592	0.658	n
OG0000593	0.4	n
OG0000594	0	y
OG0000596	0	y
OG0000597	0.847	n
OG0000598	0.39	n
OG0000599	0.034	y
OG0000601	0.992	n
OG0000602	0.964	n
OG0000603	0.97	n
OG0000604	0.747	n
OG0000605	0.601	n
OG0000606	0	y
OG0000607	0	y
OG0000608	0	y
OG0000609	0.744	n
OG0000610	0	y
OG0000612	0.999	n
OG0000613	0.997	n
OG0000614	0.993	n
OG0000615	0.657	n
OG0000616	0.993	n
OG0000617	0.64	n
OG0000618	0.999	n
OG0000619	0.999	n
OG0000620	0.678	n
OG0000621	0.362	n
OG0000622	0.39	n
OG0000623	0.754	n
OG0000624	0.001	y
OG0000625	0	y
OG0000626	0.996	n
OG0000627	0.911	n
OG0000628	0	y
OG0000629	0.024	y
OG0000630	0.801	n
OG0000632	0.848	n
OG0000633	0.338	n
OG0000635	0.003	y
OG0000636	0.006	y
OG0000638	0.995	n
OG0000639	0.913	n
OG0000640	0.999	n
OG0000641	0.982	n
OG0000643	0	y
OG0000644	0.17	n
OG0000646	0.391	n
OG0000647	0.798	n
OG0000648	0	y
OG0000649	0.999	n
OG0000650	0.992	n
OG0000651	0.455	n
OG0000652	0.05	n
OG0000653	0.872	n
OG0000654	0.519	n
OG0000655	0.979	n
OG0000656	0.976	n
OG0000657	0.999	n
OG0000659	0.999	n
OG0000660	0.667	n
OG0000661	0.923	n
OG0000663	0.169	n
OG0000664	0.724	n
OG0000665	0.582	n
OG0000666	0	y
OG0000667	0.731	n
OG0000668	0.947	n
OG0000669	0.182	n
OG0000670	0	y
OG0000671	0	y
OG0000672	0.999	n
OG0000673	0.899	n
OG0000674	0.001	y
OG0000675	0.965	n
OG0000676	0.999	n
OG0000677	0.979	n
OG0000678	0.945	n
OG0000679	0	y
OG0000680	0	y
OG0000681	0.952	n
OG0000682	0	y
OG0000684	0.001	y
OG0000685	0.999	n
OG0000687	0.379	n
OG0000688	0.808	n
OG0000689	0.055	n
OG0000690	0	y
OG0000691	0.999	n
OG0000692	0.739	n
OG0000693	0.006	y
OG0000695	0	y
OG0000696	0.999	n
OG0000697	0	y
OG0000698	0.041	y
OG0000699	0.348	n
OG0000700	0.999	n
OG0000701	0.999	n
OG0000702	0.001	y
OG0000703	0.912	n
OG0000704	0.029	y
OG0000705	0	y
OG0000706	0.505	n
OG0000707	0	y
OG0000708	0.999	n
OG0000709	0.987	n
OG0000711	0	y
OG0000712	0.33	n
OG0000713	0.008	y
OG0000714	0.999	n
OG0000715	0.999	n
OG0000716	0.728	n
OG0000717	0.005	y
OG0000718	0.163	n
OG0000719	0.982	n
OG0000720	0.205	n
OG0000721	0.879	n
OG0000722	0.005	y
OG0000724	0.492	n
OG0000725	0.297	n
OG0000726	0.949	n
OG0000727	0.532	n
OG0000728	0.959	n
OG0000729	0.001	y
OG0000730	0	y
OG0000731	0.999	n
OG0000732	0.139	n
OG0000733	0.999	n
OG0000734	0.583	n
OG0000736	0	y
OG0000737	0.798	n
OG0000738	0.489	n
OG0000739	0.999	n
OG0000740	0.063	n
OG0000741	0.996	n
OG0000742	0.999	n
OG0000743	0.999	n
OG0000745	0.017	y
OG0000746	0.049	y
OG0000747	0.983	n
