FamilyID	TaxonID	Count	Change	Pvalue
OG0000012	Aste	33	8	0.0769269
OG0000012	Dcar	23	-2	0.789025
OG0000012	54	22	-1	0.696098
OG0000012	50	27	2	0.202934
OG0000012	46	14	4	0.0310282
OG0000012	Bcal	15	1	0.674632
OG0000012	77	39	1	0.573389
OG0000012	Rsoc	29	2	0.562139
OG0000012	51	27	0	0.793964
OG0000012	Rsor	32	5	0.264301
OG0000012	Rota	37	10	0.0391926
OG0000012	47	25	11	0.00167783
OG0000012	48	25	0	0.792456
OG0000012	69	36	5	0.0437776
OG0000012	53	23	3	0.195097
OG0000012	Mlig	37	14	0.00101354
OG0000012	Aric	19	-6	0.215648
OG0000012	52	20	10	2.56E-11
OG0000012	Mvul	52	10	0.0479474
OG0000012	70	36	0	0.833384
OG0000012	Myes	32	-7	0.180447
OG0000012	Lluy	18	-10	0.00941336
OG0000012	71	30	-6	0.0360108
OG0000012	Paus	31	2	0.622945
OG0000012	Eand	42	0	0.95938
OG0000012	Lana	46	17	0.000753394
OG0000012	Pesc	56	23	5.06E-05
OG0000012	58	31	3	0.021361
OG0000012	59	33	2	0.0824996
OG0000012	Llon	63	30	4.35E-07
OG0000012	Ctel	57	20	0.000390721
OG0000012	65	39	2	0.272794
OG0000012	60	33	0	0.883486
OG0000012	Smed	20	-2	0.628515
OG0000012	Pcro	21	-1	0.835536
OG0000012	55	28	8	2.16E-06
OG0000012	56	28	0	0.855391
OG0000012	Bner	15	-13	0.00199119
OG0000012	61	32	-1	0.537432
OG0000012	57	29	1	0.37255
OG0000012	Dgyr	1	-31	3.73E-17
OG0000012	64	37	4	0.0261652
OG0000012	62	33	1	0.372836
OG0000012	63	28	-5	0.105223
OG0000012	Lgig	39	-2	0.724227
OG0000012	67	41	2	0.445946
OG0000012	Pech	28	0	0.95112
OG0000012	Hrob	67	26	2.17E-06
OG0000012	66	42	3	0.205028
OG0000012	68	32	-9	0.00944865
OG0000012	Hmed	15	-17	0.000773981
OG0000012	Cuni	37	-4	0.416331
OG0000012	Cgig	39	0	0.96044
OG0000012	Hman	24	-8	0.170397
OG0000012	Gaeg	38	-2	0.728549
OG0000012	Bgla	36	-3	0.551886
OG0000012	Gmag	42	2	0.655551
OG0000012	Mcal	49	9	0.0898853
OG0000012	76	39	-1	0.653336
OG0000012	Ppel	48	7	0.145093
OG0000012	75	40	0	0.916647
OG0000012	72	38	2	0.16105
OG0000012	73	40	2	0.28654
OG0000012	Mmer	43	0	0.961066
OG0000012	Dpol	56	13	0.0135043
OG0000012	Obim	28	-2	0.681073
OG0000012	Aful	36	-4	0.414581
OG0000012	Spha	19	-11	0.00664823
OG0000012	Mcor	40	1	0.803366
OG0000012	83	39	0	0.925497
OG0000012	Acal	40	1	0.79022
OG0000012	84	39	0	0.86875
OG0000012	74	43	3	0.217396
OG0000012	78	41	2	0.400354
OG0000012	Hhan	50	14	0.0096401
OG0000012	79	39	0	0.834946
OG0000012	80	40	1	0.684016
OG0000012	Hrub	41	1	0.80445
OG0000012	87	41	1	0.41344
OG0000012	82	39	0	0.924034
OG0000012	Echl	37	-2	0.706972
OG0000012	85	39	0	0.856895
OG0000012	86	40	1	0.591158
OG0000012	Oida	57	16	0.00118858
OG0000017	Aste	47	11	0.0548713
OG0000017	Dcar	33	-3	0.689156
OG0000017	54	19	0	0.882855
OG0000017	50	38	2	0.285487
OG0000017	46	17	7	0.00072656
OG0000017	Bcal	19	2	0.494134
OG0000017	77	25	1	0.4756
OG0000017	Rsoc	39	1	0.756337
OG0000017	51	39	1	0.335693
OG0000017	Rsor	48	9	0.103354
OG0000017	Rota	48	9	0.103354
OG0000017	47	36	19	4.10E-06
OG0000017	48	36	0	0.833384
OG0000017	69	24	1	0.522686
OG0000017	53	19	3	0.148981
OG0000017	Mlig	26	7	0.051259
OG0000017	Aric	38	2	0.621839
OG0000017	52	16	6	9.07E-07
OG0000017	Mvul	63	26	1.20E-06
OG0000017	70	24	0	0.787445
OG0000017	Myes	21	-1	0.841632
OG0000017	Lluy	27	0	0.950212
OG0000017	71	20	-4	0.120227
OG0000017	Paus	19	-2	0.747527
OG0000017	Eand	35	-2	0.70328
OG0000017	Lana	23	2	0.562202
OG0000017	Pesc	26	0	0.8617
OG0000017	58	23	2	0.0801634
OG0000017	59	25	2	0.109428
OG0000017	Llon	39	14	0.00332037
OG0000017	Ctel	32	3	0.466995
OG0000017	65	31	2	0.217422
OG0000017	60	26	1	0.412456
OG0000017	Smed	26	7	0.0469627
OG0000017	Pcro	15	-4	0.265468
OG0000017	55	21	5	0.000488413
OG0000017	56	21	0	0.827896
OG0000017	Bner	22	1	0.654292
OG0000017	61	26	0	0.797201
OG0000017	57	21	0	0.819306
OG0000017	Dgyr	22	-4	0.382335
OG0000017	64	29	2	0.131669
OG0000017	62	27	1	0.325353
OG0000017	63	27	0	0.923175
OG0000017	Lgig	28	1	0.755511
OG0000017	67	28	-3	0.297126
OG0000017	Pech	28	1	0.754289
OG0000017	Hrob	26	-2	0.653768
OG0000017	66	37	6	0.0144837
OG0000017	68	26	-2	0.542231
OG0000017	Hmed	17	-9	0.069949
OG0000017	Cuni	28	-3	0.492026
OG0000017	Cgig	15	-7	0.0563684
OG0000017	Hman	27	1	0.730024
OG0000017	Gaeg	27	0	0.951901
OG0000017	Bgla	19	-6	0.121676
OG0000017	Gmag	29	2	0.586083
OG0000017	Mcal	26	3	0.402086
OG0000017	76	22	-1	0.546208
OG0000017	Ppel	33	6	0.121478
OG0000017	75	23	-1	0.685146
OG0000017	72	24	0	0.829028
OG0000017	73	24	0	0.875231
OG0000017	Mmer	24	-1	0.846593
OG0000017	Dpol	30	5	0.177714
OG0000017	Obim	17	-3	0.427635
OG0000017	Aful	32	2	0.570784
OG0000017	Spha	16	-4	0.280254
OG0000017	Mcor	21	-3	0.483336
OG0000017	83	24	0	0.903777
OG0000017	Acal	18	-6	0.120086
OG0000017	84	24	0	0.824336
OG0000017	74	25	1	0.532429
OG0000017	78	27	2	0.293334
OG0000017	Hhan	46	22	8.03E-06
OG0000017	79	25	0	0.784499
OG0000017	80	27	2	0.359954
OG0000017	Hrub	32	5	0.205149
OG0000017	87	31	1	0.346837
OG0000017	82	24	-1	0.720667
OG0000017	Echl	21	-3	0.450065
OG0000017	85	25	1	0.286101
OG0000017	86	30	5	0.0155869
OG0000017	Oida	52	21	7.26E-06
OG0000019	Aste	42	4	0.4077
OG0000019	Dcar	38	0	0.896712
OG0000019	54	17	2	0.158801
OG0000019	50	41	3	0.138213
OG0000019	46	19	9	5.33E-05
OG0000019	Bcal	23	4	0.223639
OG0000019	77	29	2	0.235053
OG0000019	Rsoc	40	-1	0.966008
OG0000019	51	42	1	0.352994
OG0000019	Rsor	54	12	0.0464511
OG0000019	Rota	50	8	0.161095
OG0000019	47	38	19	1.02E-05
OG0000019	48	38	0	0.838773
OG0000019	69	26	2	0.266807
OG0000019	53	15	1	0.54333
OG0000019	Mlig	8	-7	0.0195646
OG0000019	Aric	40	2	0.631286
OG0000019	52	14	4	0.000250517
OG0000019	Mvul	52	17	0.000564728
OG0000019	70	26	0	0.797201
OG0000019	Myes	24	-2	0.668909
OG0000019	Lluy	38	11	0.0115194
OG0000019	71	23	-3	0.268674
OG0000019	Paus	19	-1	0.947501
OG0000019	Eand	37	2	0.614568
OG0000019	Lana	26	6	0.100981
OG0000019	Pesc	36	8	0.0851928
OG0000019	58	24	4	0.000982254
OG0000019	59	26	2	0.115754
OG0000019	Llon	44	18	0.000273711
OG0000019	Ctel	32	3	0.466995
OG0000019	65	30	1	0.48425
OG0000019	60	28	2	0.161547
OG0000019	Smed	23	6	0.0731685
OG0000019	Pcro	21	4	0.182246
OG0000019	55	20	6	2.87E-05
OG0000019	56	20	0	0.822711
OG0000019	Bner	12	-8	0.0325085
OG0000019	61	28	0	0.805964
OG0000019	57	20	0	0.813885
OG0000019	Dgyr	28	0	0.866104
OG0000019	64	29	1	0.390977
OG0000019	62	28	0	0.835472
OG0000019	63	27	-1	0.777396
OG0000019	Lgig	35	6	0.134956
OG0000019	67	27	-3	0.289232
OG0000019	Pech	15	-12	0.00123074
OG0000019	Hrob	29	2	0.557019
OG0000019	66	35	5	0.0381998
OG0000019	68	22	-5	0.0678892
OG0000019	Hmed	8	-14	0.000643455
OG0000019	Cuni	33	-1	0.857888
OG0000019	Cgig	26	0	0.951462
OG0000019	Hman	23	1	0.70698
OG0000019	Gaeg	30	-2	0.697558
OG0000019	Bgla	25	-3	0.481625
OG0000019	Gmag	38	6	0.166392
OG0000019	Mcal	27	1	0.762119
OG0000019	76	26	0	0.841314
OG0000019	Ppel	25	-4	0.368116
OG0000019	75	26	-1	0.703071
OG0000019	72	27	1	0.345763
OG0000019	73	27	0	0.883313
OG0000019	Mmer	28	0	0.951656
OG0000019	Dpol	33	5	0.202845
OG0000019	Obim	23	0	0.946593
OG0000019	Aful	32	0	0.951474
OG0000019	Spha	14	-9	0.0102563
OG0000019	Mcor	30	2	0.595865
OG0000019	83	27	-1	0.740845
OG0000019	Acal	20	-7	0.0656086
OG0000019	84	27	0	0.836488
OG0000019	74	28	1	0.556924
OG0000019	78	29	0	0.912233
OG0000019	Hhan	35	9	0.0433112
OG0000019	79	29	0	0.802513
OG0000019	80	32	3	0.222748
OG0000019	Hrub	37	5	0.24473
OG0000019	87	34	2	0.117099
OG0000019	82	28	-1	0.740621
OG0000019	Echl	23	-4	0.332537
OG0000019	85	28	1	0.311684
OG0000019	86	32	4	0.0651759
OG0000019	Oida	53	19	6.83E-05
OG0000020	Aste	24	5	0.193315
OG0000020	Dcar	15	-4	0.357035
OG0000020	54	23	0	0.894646
OG0000020	50	20	1	0.405481
OG0000020	46	11	1	0.445256
OG0000020	Bcal	8	-3	0.297265
OG0000020	77	40	-1	0.745713
OG0000020	Rsoc	20	0	0.853535
OG0000020	51	20	0	0.755927
OG0000020	Rsor	23	3	0.420651
OG0000020	Rota	27	7	0.0963991
OG0000020	47	19	8	0.007877
OG0000020	48	19	0	0.75766
OG0000020	69	39	5	0.0535037
OG0000020	53	23	3	0.195097
OG0000020	Mlig	28	5	0.166056
OG0000020	Aric	22	3	0.420404
OG0000020	52	20	10	2.56E-11
OG0000020	Mvul	55	13	0.0101488
OG0000020	70	39	0	0.841295
OG0000020	Myes	36	-8	0.14808
OG0000020	Lluy	60	18	0.000973077
OG0000020	71	27	-12	7.57E-05
OG0000020	Paus	25	-7	0.161452
OG0000020	Eand	39	-3	0.574701
OG0000020	Lana	39	7	0.132702
OG0000020	Pesc	57	20	0.000500147
OG0000020	58	34	3	0.0266378
OG0000020	59	35	1	0.325075
OG0000020	Llon	41	6	0.217406
OG0000020	Ctel	60	20	0.000637511
OG0000020	65	40	0	0.904294
OG0000020	60	37	2	0.222544
OG0000020	Smed	25	2	0.543268
OG0000020	Pcro	22	-1	0.83919
OG0000020	55	31	11	3.49E-09
OG0000020	56	32	1	0.414688
OG0000020	Bner	44	12	0.01635
OG0000020	61	37	0	0.836138
OG0000020	57	32	0	0.859917
OG0000020	Dgyr	20	-17	0.000335106
OG0000020	64	40	1	0.467536
OG0000020	62	39	2	0.149441
OG0000020	63	42	3	0.30346
OG0000020	Lgig	37	-2	0.717454
OG0000020	67	36	-4	0.212678
OG0000020	Pech	35	-7	0.177815
OG0000020	Hrob	32	-4	0.398146
OG0000020	66	42	2	0.382901
OG0000020	68	33	-3	0.400374
OG0000020	Hmed	28	-5	0.458497
OG0000020	Cuni	29	-3	0.498963
OG0000020	Cgig	37	-7	0.207348
OG0000020	Hman	27	-6	0.360172
OG0000020	Gaeg	41	-8	0.16635
OG0000020	Bgla	23	-5	0.225493
OG0000020	Gmag	64	15	0.0114124
OG0000020	Mcal	56	11	0.0495978
OG0000020	76	44	-1	0.672928
OG0000020	Ppel	40	1	0.796136
OG0000020	75	45	-1	0.772307
OG0000020	72	41	2	0.176487
OG0000020	73	46	5	0.034967
OG0000020	Mmer	73	16	0.0102187
OG0000020	Dpol	80	23	0.000380104
OG0000020	Obim	18	-9	0.0236307
OG0000020	Aful	23	-7	0.0704995
OG0000020	Spha	15	-12	0.00137559
OG0000020	Mcor	28	-5	0.303508
OG0000020	83	28	-5	0.0392691
OG0000020	Acal	20	-8	0.0398687
OG0000020	84	28	0	0.840061
OG0000020	74	57	11	0.000304656
OG0000020	78	39	-1	0.781378
OG0000020	Hhan	85	46	7.58E-12
OG0000020	79	40	0	0.837468
OG0000020	80	49	9	0.00634936
OG0000020	Hrub	67	18	0.00231194
OG0000020	87	32	2	0.107472
OG0000020	82	33	-7	0.00899287
OG0000020	Echl	21	-7	0.0681609
OG0000020	85	28	0	0.825133
OG0000020	86	30	2	0.258282
OG0000020	Oida	56	24	6.84E-07
OG0000024	Aste	29	4	0.35961
OG0000024	Dcar	28	3	0.422859
OG0000024	54	13	1	0.36529
OG0000024	50	26	1	0.469032
OG0000024	46	14	4	0.0310282
OG0000024	Bcal	14	0	0.933456
OG0000024	77	26	2	0.209135
OG0000024	Rsoc	24	-2	0.788174
OG0000024	51	26	0	0.789354
OG0000024	Rsor	31	5	0.255182
