FamilyID	Tuco<1>	Pcau<2>	Psam<3>	Ppac<4>	Hexe<5>	Rvar<6>	Ebro<7>	Nstr<8>	Lpol<9>	Ptep<10>	Cscu<11>	Popi<12>	Dpte<13>	Dsil<14>	Smar<15>	Rimm<16>	Hhol<17>	Gmae<18>	Dste<19>	Eaff<20>	Tcal<21>	Ppol<22>	Hazt<23>	Anas<24>	Pchi<25>	Hame<26>	Pcla<27>	Cqua<28>	Dmag<29>	Dgal<30>	Dapu<31>	Dpul<32>	Tqin<33>	Caug<34>	Iele<35>	Znev<36>	Tcas<37>	Dmel<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>
OG0000010	0.0240495	0.0599414	4.19911e-26	1.06996e-07	0.256321	0.256321	0.0224572	4.06727e-05	5.02206e-16	0.262199	0.000225025	5.95803e-06	2.06389e-05	0.179854	0.824278	3.60298e-18	0.00864718	0.919302	0.00176877	0.383745	0.0420379	1.83396e-05	0.0133373	1.68828e-05	0.406294	0.310437	0.000408941	0.311498	0.62317	0.866607	0.614756	0.864893	1.13547e-05	0.467329	0.016273	0.0466165	0.378292	0.00696749	N/A	0.0640399	0.0671309	0.000676999	0.5501	0.00731043	0.598374	0.160089	0.68563	0.0197147	0.618331	0.187176	0.0144924	0.390253	0.624442	0.162164	6.32002e-06	0.456143	0.783541	0.664303	0.137098	0.0344796	2.59177e-07	0.0003085	0.553741	5.598e-05	0.000860393	0.289787	0.659728	0.0421411	0.610908	0.596537	0.659728	0.607386	0.155609	0.658809	0.800852
OG0000012	0.00189489	0.0462487	0.425917	0.716799	0.946028	0.379553	5.26913e-07	2.0904e-07	0.012396	0.187421	0.570962	0.754067	1.05824e-06	0.00154085	0.311905	7.7641e-07	0.433664	0.104519	0.347542	0.106883	0.938272	0.700646	0.28785	0.28785	0.496405	0.920269	0.919429	0.612903	0.388651	0.899737	0.702449	0.702449	0.388528	0.937331	0.579977	3.83824e-10	0.784139	0.0266048	N/A	0.000462302	1.71318e-08	0.934691	0.0417721	0.689476	0.00126827	0.0293373	0.018338	0.180662	0.696503	0.827103	0.776377	0.846496	0.710908	0.298933	0.00075914	0.241402	0.252309	0.391056	0.773924	0.224656	0.794178	0.159286	0.429449	0.826036	0.820005	0.681547	0.369727	0.00821725	0.664303	0.64533	0.726257	0.662017	0.42058	0.762029	0.0656011
OG0000013	0.013544	1.22226e-05	0.103252	0.742767	0.596186	0.00315418	4.07674e-10	0.000240482	2.34223e-16	0.161076	0.0728583	0.539083	0.105915	0.179905	0.814089	0.309903	0.144397	0.698676	0.029122	0.0778806	0.815549	0.0461255	0.932061	0.0367255	0.666613	0.790179	0.0946895	0.928725	0.627699	0.492788	0.92089	0.92089	0.322244	0.194451	0.0726223	0.810082	0.797411	0.932107	N/A	1.20914e-05	1.71318e-08	0.284508	0.0417721	0.0692273	0.0937635	0.260908	0.754578	0.00231512	0.675686	0.287092	0.754815	0.548294	0.683996	0.79022	0.869184	0.833201	0.842598	0.174533	0.229797	0.503572	0.800664	0.701805	0.791092	0.361341	0.844094	0.711597	0.733787	0.519347	0.723444	0.701703	0.733787	0.668757	0.870933	0.762029	0.652063
OG0000014	6.96481e-06	0.408651	0.0055697	0.319108	0.200012	0.635111	0.412663	0.154633	0.645913	0.0205977	0.011839	0.798728	0.039787	9.44333e-13	0.000274726	0.468633	1.00992e-15	0.353696	0.00312879	0.0579981	0.0267796	0.00489904	0.0182346	0.322323	0.211894	0.23949	0.0716634	0.0158423	0.132805	0.548628	0.202719	0.946284	9.35224e-14	2.50888e-11	0.0621683	0.162363	0.061276	0.147819	N/A	0.00346877	2.19525e-14	0.00061601	0.0535501	0.436464	0.000140655	8.22177e-08	0.33794	0.0640446	0.746067	0.86245	0.312644	0.196149	0.0963042	0.415631	0.241848	0.00466144	0.107178	0.0442118	0.861749	0.787518	0.446548	0.353637	0.633519	0.900045	0.703212	0.800634	0.102191	0.0307161	0.817969	0.798741	0.00183211	0.794142	0.0531002	0.609383	0.922422
OG0000015	6.09879e-07	0.000423562	0.00332611	0.144856	0.955178	0.0832025	0.101155	0.0500943	0.0147269	0.870869	3.26874e-05	0.781381	1.98926e-10	0.0110254	0.165004	0.0195233	0.0841915	0.674406	0.0564481	0.16326	0.16326	0.00174923	0.0305454	0.315823	0.95185	0.127697	0.00440439	0.00060153	0.164176	0.774985	0.923344	0.501516	0.0906761	1.27983e-10	0.00349018	0.182704	0.0653272	0.331756	N/A	3.00695e-11	2.07099e-11	0.488524	0.00592583	0.128802	0.00208251	1.71507e-05	0.0808044	0.0884312	0.727476	0.128517	0.805489	0.628926	0.748707	0.844718	0.901045	0.876013	0.472813	0.271715	0.00922842	0.0995684	0.146873	0.646538	0.864541	0.525562	0.519383	0.803699	0.799063	0.000111116	0.731424	0.709531	0.799063	0.733775	0.00128695	0.792974	0.692012
OG0000016	7.92243e-05	0.00341499	3.89819e-08	0.334955	0.95415	0.0263777	0.339097	0.532976	0.000110456	0.94282	0.349759	0.271249	0.000654488	0.237702	0.0599183	2.4715e-08	0.734498	0.249656	0.946712	9.63312e-09	0.12841	0.00641036	0.93392	0.000389668	0.15776	0.0756527	0.793514	0.339911	0.511427	0.774985	0.501516	0.77258	0.0178434	0.00157596	0.224607	0.680482	0.509039	0.161782	N/A	1.20914e-05	1.1766e-09	0.000599165	0.0447259	0.0785591	0.0997435	0.0259651	0.775571	0.859763	0.664289	0.797476	0.384567	0.153088	0.145603	0.298933	0.220692	0.857237	0.406363	0.765231	0.269513	0.07826	0.822349	0.210967	0.49593	0.853851	0.848849	0.718292	0.760143	0.119071	0.731424	0.709531	0.760143	0.693463	0.00634285	0.754578	0.0590814
OG0000017	0.10758	0.00719103	0.116203	0.706237	0.597295	0.820542	0.000458042	0.00813397	1.18806e-08	0.941309	0.00749634	0.339361	0.147735	0.39899	0.935957	0.467675	0.0972788	0.936623	0.385646	0.681913	0.934855	0.000519521	0.677828	0.362374	0.557329	0.933	0.445034	0.271635	0.77081	0.492788	0.619473	0.92089	0.226691	0.93536	0.674422	0.0375206	0.65939	0.65939	N/A	0.0237766	0.000478907	0.400457	0.0328779	0.653731	0.0140045	0.104072	0.746623	0.0525344	0.658322	0.791262	0.735532	0.516225	0.676539	0.782708	0.864463	0.826931	0.836698	0.723444	0.208307	0.478677	0.249761	0.51177	0.797642	0.373911	0.373009	0.724694	0.718299	0.921942	0.723444	0.701703	0.718299	0.655033	0.861721	0.746623	0.868695
OG0000018	0.000423562	1.81426e-07	0.00124148	0.122087	0.200012	0.019829	0.113773	0.0772048	3.29241e-05	0.0598366	0.555032	0.0123993	0.000518739	0.156901	0.54651	0.16121	0.286472	0.721762	0.000477647	0.230933	0.62058	0.000336095	0.0938799	0.418461	0.0827967	0.936056	0.0215668	0.68503	0.43758	0.540712	0.069023	0.137639	0.630022	0.00549873	0.817252	0.13259	0.550121	0.349112	N/A	3.00695e-11	5.23756e-07	0.26634	0.0388125	0.455956	0.0184386	0.000379399	0.241838	0.163687	0.686409	0.818483	0.766129	0.566666	0.710908	0.815062	0.21056	0.597102	0.149615	0.770953	0.27879	0.904606	0.323058	0.740058	0.8242	0.868779	0.622627	0.736678	0.42637	0.560954	0.752819	0.73082	0.760143	0.693463	0.131869	0.431572	0.652063
OG0000019	9.24138e-05	0.0546122	0.0833129	0.529356	0.73479	0.156539	0.00156185	0.104953	4.30444e-08	0.373056	0.244792	0.539083	0.179905	0.831175	0.731866	0.0895936	0.944813	0.0333252	0.0191493	0.0983774	0.576937	0.0461255	0.282022	0.0188054	0.931438	0.790179	0.247736	0.421528	0.523703	0.781394	0.401777	0.401777	0.0673869	0.023028	0.305083	0.0232156	0.455792	0.678339	N/A	0.000142552	5.23756e-07	0.440693	0.0388125	0.455956	0.0184386	0.0227496	0.769015	0.0717329	0.675686	0.808682	0.754815	0.548294	0.698008	0.277503	0.200155	0.373009	0.852806	0.746083	0.780768	0.891699	0.800664	0.897083	0.797642	0.849281	0.844094	0.711597	0.740916	0.787712	0.73896	0.716979	0.740916	0.675262	0.64645	0.762029	0.87732
OG0000020	0.192321	0.0599414	0.00256887	0.947708	0.922669	0.287939	0.00269232	0.393428	2.6259e-06	0.51706	0.0017308	0.418873	0.00893614	0.939026	0.801896	0.452769	0.217913	0.457361	0.0637364	0.433588	0.542315	8.31568e-07	0.12787	0.0271733	0.925081	0.77113	0.0690107	0.494463	0.754777	0.46262	0.246961	0.0492678	0.0736359	0.0213852	0.495288	0.766658	0.747271	0.747271	N/A	0.0640399	0.000478907	0.0351939	0.560182	0.303629	0.0119598	0.0939716	0.182145	0.0525344	0.658322	0.25663	0.735532	0.516225	0.66876	0.774562	0.859197	0.820005	0.830158	0.71499	0.197142	0.880789	0.237893	0.684753	0.776403	0.832737	0.826931	0.689586	0.328981	0.91631	0.706027	0.68481	0.700976	0.64029	0.222949	0.70885	0.575233
