#Taxon_ID	Increase	Decrease
Ptep<10>	1360	1138
Ebro<7>	2393	1676
<47>	72	594
<40>	322	75
Tuco<1>	1757	1616
Pcau<2>	1292	1436
<46>	201	172
Nstr<8>	1391	2965
<52>	34	61
<49>	21	149
Caug<34>	2112	977
<41>	86	0
<42>	833	2684
Psam<3>	3388	157
Ppac<4>	369	2337
Anas<24>	1008	1723
<60>	490	873
Popi<12>	643	2091
Dpte<13>	565	2379
<43>	22	31
<48>	374	472
<44>	446	3367
Hexe<5>	498	1269
Rvar<6>	963	368
<45>	85	24
Lpol<9>	2648	635
<50>	113	10
<54>	165	396
Cscu<11>	2176	688
Dsil<14>	1013	1041
<57>	143	704
Dste<19>	859	2663
Eaff<20>	1971	455
Znev<36>	446	1032
<62>	232	551
<53>	43	152
<55>	251	763
Smar<15>	658	1813
<51>	20	448
<56>	261	34
Hhol<17>	1499	1328
Gmae<18>	2505	1119
Rimm<16>	2220	495
Tcas<37>	541	494
Hazt<23>	691	974
Dmag<29>	620	723
<69>	32	120
Dgal<30>	389	1053
Tqin<33>	942	1633
Hame<26>	687	1024
<72>	12	7
<58>	52	215
<59>	127	374
<71>	62	241
<74>	7	153
<75>	71	535
Ppol<22>	2504	1080
<66>	24	4
Tcal<21>	451	1155
<61>	90	206
<65>	112	67
<63>	42	43
Cqua<28>	1188	580
<64>	215	137
Pchi<25>	604	630
<68>	447	1317
Pcla<27>	701	475
<67>	40	319
<70>	47	2
Dapu<31>	552	531
Dpul<32>	1108	372
<73>	49	678
Iele<35>	551	767
Dmel<38>	600	875
