#FamilyID	Likelihood of Family
OG0000010	-398.858
OG0000012	-238.629
OG0000013	-226.701
OG0000014	-362.056
OG0000015	-307.774
OG0000016	-251.761
OG0000017	-161.12
OG0000018	-230.007
OG0000019	-181.907
OG0000020	-171.113
OG0000021	-187.556
OG0000023	-257.301
OG0000024	-201.247
OG0000026	-113.367
OG0000027	-133.405
OG0000028	-305.939
OG0000029	-68.6826
OG0000030	-326.663
OG0000032	-157.752
OG0000033	-314.314
OG0000034	-83.4258
OG0000035	-219.771
OG0000036	-206.53
OG0000037	-159.435
OG0000039	-291.862
OG0000040	-144.944
OG0000042	-162.134
OG0000043	-133.886
OG0000044	-161.115
OG0000045	-58.7022
OG0000046	-206.057
OG0000048	-214.061
OG0000049	-90.6449
OG0000050	-147.527
OG0000051	-193.265
OG0000052	-200.084
OG0000053	-221.2
OG0000054	-182.447
OG0000055	-126.537
OG0000056	-239.701
OG0000059	-58.8025
OG0000062	-136.096
OG0000064	-168.49
OG0000066	-342.387
OG0000067	-389.799
OG0000068	-108.254
OG0000069	-181.204
OG0000070	-266.816
OG0000071	-433.423
OG0000072	-159.326
OG0000073	-157.294
OG0000074	-245.113
OG0000075	-141.9
OG0000076	-166.703
OG0000078	-120.926
OG0000079	-138.257
OG0000080	-210.6
OG0000081	-235.788
OG0000083	-246.361
OG0000085	-129.567
OG0000086	-129.316
OG0000087	-240.841
OG0000088	-178.12
OG0000089	-292.82
OG0000090	-132.272
OG0000091	-144.154
OG0000092	-281.383
OG0000093	-146.187
OG0000094	-152.64
OG0000095	-260.889
OG0000097	-73.6161
OG0000098	-191.282
OG0000099	-188.806
OG0000100	-175.005
OG0000101	-125.515
OG0000102	-208.558
OG0000103	-164.356
OG0000104	-219.467
OG0000105	-181.582
OG0000106	-239.979
OG0000107	-261.185
OG0000108	-122.807
OG0000110	-479.114
OG0000111	-125.805
OG0000112	-174.99
OG0000113	-115.962
OG0000114	-198.412
OG0000116	-147.682
OG0000117	-140.892
OG0000118	-141.714
OG0000119	-122.171
OG0000120	-129.674
OG0000121	-105.446
OG0000122	-204.058
OG0000123	-187.287
OG0000124	-176.425
OG0000125	-217.283
OG0000126	-92.7866
OG0000127	-176.824
OG0000128	-95.9166
OG0000129	-179.255
OG0000130	-144.208
OG0000132	-103.334
OG0000133	-87.9235
OG0000134	-88.278
OG0000136	-94.9741
OG0000137	-102.661
OG0000138	-150.354
OG0000139	-138.248
OG0000141	-92.3148
OG0000142	-115.714
OG0000143	-120.255
OG0000144	-104.849
OG0000145	-264.693
OG0000146	-177.33
OG0000148	-113.676
OG0000150	-141.397
OG0000151	-181.88
OG0000152	-159.223
OG0000153	-106.082
OG0000154	-190.977
OG0000156	-131.694
OG0000157	-185.626
OG0000158	-121.634
OG0000159	-104.995
OG0000160	-185.764
OG0000161	-115.494
OG0000162	-88.7801
OG0000163	-201.152
OG0000164	-114.487
OG0000165	-118.032
OG0000167	-138.926
OG0000168	-343.747
OG0000169	-96.8753
OG0000170	-164.968
OG0000171	-239.491
OG0000172	-150.115
OG0000173	-90.9406
OG0000174	-87.3032
OG0000175	-149.466
OG0000176	-126.617
OG0000177	-263.672
OG0000178	-351.629
OG0000179	-99.0657
OG0000180	-90.7183
OG0000181	-161.666
OG0000182	-111.674
OG0000184	-87.6042
OG0000185	-95.9232
OG0000186	-90.2001
OG0000188	-208.619
OG0000189	-78.8087
OG0000190	-379.674
OG0000191	-303.544
OG0000192	-116.125
OG0000194	-91.0428
OG0000195	-120.884
OG0000196	-190.112
OG0000197	-98.9542
OG0000198	-54.7348
OG0000199	-79.1922
OG0000200	-125.855
OG0000201	-78.0422
OG0000202	-70.3904
OG0000204	-95.9754
OG0000205	-88.1271
OG0000206	-140.481
OG0000207	-116.656
OG0000208	-178.253
OG0000209	-164.023
OG0000210	-110.287
OG0000211	-92.5783
OG0000212	-81.7179
OG0000213	-106.632
OG0000214	-122.389
OG0000215	-86.3466
OG0000216	-153.933
OG0000217	-98.3039
OG0000218	-89.6487
OG0000219	-167.287
OG0000220	-100.214
OG0000222	-218.459
OG0000223	-249.626
OG0000226	-98.9708
OG0000227	-136.352
OG0000229	-122.208
OG0000231	-133.654
OG0000232	-280.596
OG0000235	-145.078
OG0000236	-76.7802
OG0000237	-88.5704
OG0000238	-126.317
OG0000239	-159.372
OG0000240	-94.6826
OG0000241	-92.3497
OG0000242	-284.929
OG0000244	-101.968
OG0000246	-83.6847
OG0000247	-71.9779
OG0000248	-57.1898
OG0000249	-157.464
OG0000250	-112.615
OG0000251	-126.295
OG0000253	-104.915
OG0000254	-226.366
OG0000256	-129.406
OG0000258	-71.4555
OG0000259	-171.943
OG0000260	-76.3302
OG0000261	-113.192
OG0000262	-185.435
OG0000263	-93.6207
OG0000264	-155.552
OG0000265	-56.0814
OG0000266	-104.389
OG0000267	-114.026
OG0000268	-152.481
OG0000270	-274.699
OG0000271	-518.488
OG0000272	-108.287
OG0000273	-117.105
OG0000274	-327.973
OG0000275	-251.129
OG0000277	-79.5007
OG0000278	-212.773
OG0000279	-91.8234
OG0000280	-143.355
OG0000281	-92.5892
OG0000282	-91.4019
OG0000283	-195.138
OG0000284	-97.4459
OG0000285	-113.079
OG0000286	-141.968
OG0000287	-87.2892
OG0000288	-27.3369
OG0000289	-94.1052
OG0000290	-183.671
OG0000291	-343.532
OG0000292	-270.807
OG0000294	-222.482
OG0000297	-154.431
OG0000298	-103.39
OG0000299	-114.147
OG0000300	-229.267
OG0000301	-232.356
OG0000302	-66.6733
OG0000303	-87.0417
OG0000304	-103.153
OG0000305	-92.5922
OG0000306	-100.231
OG0000308	-114.19
OG0000309	-110.64
OG0000311	-95.1451
OG0000312	-88.8541
OG0000314	-90.0147
OG0000315	-108.411
OG0000316	-121.829
OG0000317	-89.433
OG0000318	-100.795
OG0000319	-184.507
OG0000321	-139.152
OG0000322	-145.778
OG0000323	-113.178
OG0000325	-95.795
OG0000327	-95.1406
OG0000328	-88.0549
OG0000329	-124.246
OG0000330	-82.6811
OG0000331	-139.143
OG0000332	-106.591
OG0000333	-97.1959
OG0000334	-82.8134
OG0000335	-180.818
