#FamilyID	pvalue	Significant at 0.05
OG0000010	0	y
OG0000012	0	y
OG0000013	0	y
OG0000014	0	y
OG0000015	0	y
OG0000016	0	y
OG0000017	0	y
OG0000018	0	y
OG0000019	0	y
OG0000020	0	y
OG0000021	0	y
OG0000023	0	y
OG0000024	0	y
OG0000026	0.089	n
OG0000027	0.003	y
OG0000028	0	y
OG0000029	0.811	n
OG0000030	0	y
OG0000032	0	y
OG0000033	0	y
OG0000034	0.252	n
OG0000035	0	y
OG0000036	0	y
OG0000037	0	y
OG0000039	0	y
OG0000040	0.08	n
OG0000042	0	y
OG0000043	0.016	y
OG0000044	0	y
OG0000045	0.778	n
OG0000046	0	y
OG0000048	0	y
OG0000049	0.12	n
OG0000050	0	y
OG0000051	0	y
OG0000052	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0.011	y
OG0000056	0	y
OG0000059	0.989	n
OG0000062	0	y
OG0000064	0	y
OG0000066	0	y
OG0000067	0	y
OG0000068	0.681	n
OG0000069	0	y
OG0000070	0	y
OG0000071	0	y
OG0000072	0	y
OG0000073	0	y
OG0000074	0	y
OG0000075	0	y
OG0000076	0	y
OG0000078	0.004	y
OG0000079	0.001	y
OG0000080	0	y
OG0000081	0	y
OG0000083	0	y
OG0000085	0.002	y
OG0000086	0.001	y
OG0000087	0	y
OG0000088	0	y
OG0000089	0	y
OG0000090	0.001	y
OG0000091	0	y
OG0000092	0	y
OG0000093	0	y
OG0000094	0	y
OG0000095	0	y
OG0000097	0.997	n
OG0000098	0	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0.002	y
OG0000102	0	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0	y
OG0000106	0	y
OG0000107	0	y
OG0000108	0.001	y
OG0000110	0	y
OG0000111	0	y
OG0000112	0	y
OG0000113	0.033	y
OG0000114	0	y
OG0000116	0	y
OG0000117	0	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0.004	y
OG0000121	0.332	n
OG0000122	0	y
OG0000123	0	y
OG0000124	0	y
OG0000125	0	y
OG0000126	0.531	n
OG0000127	0	y
OG0000128	0.215	n
OG0000129	0	y
OG0000130	0	y
OG0000132	0.648	n
OG0000133	0.244	n
OG0000134	0.796	n
OG0000136	0.157	n
OG0000137	0.168	n
OG0000138	0	y
OG0000139	0	y
OG0000141	0.971	n
OG0000142	0.002	y
OG0000143	0.004	y
OG0000144	0.066	n
OG0000145	0	y
OG0000146	0	y
OG0000148	0.006	y
OG0000150	0	y
OG0000151	0	y
OG0000152	0	y
OG0000153	0.634	n
OG0000154	0	y
OG0000156	0	y
OG0000157	0	y
OG0000158	0	y
OG0000159	0.05	n
OG0000160	0	y
OG0000161	0.004	y
OG0000162	0.599	n
OG0000163	0	y
OG0000164	0.012	y
OG0000165	0.001	y
OG0000167	0	y
OG0000168	0	y
OG0000169	0.02	y
OG0000170	0	y
OG0000171	0	y
OG0000172	0	y
OG0000173	0.119	n
OG0000174	0.999	n
OG0000175	0	y
OG0000176	0	y
OG0000177	0	y
OG0000178	0	y
OG0000179	0.205	n
OG0000180	0.434	n
OG0000181	0	y
OG0000182	0.025	y
OG0000184	0.486	n
OG0000185	0.621	n
OG0000186	0.165	n
OG0000188	0	y
OG0000189	0.818	n
OG0000190	0	y
OG0000191	0	y
OG0000192	0.001	y
OG0000194	0.226	n
OG0000195	0.001	y
OG0000196	0	y
OG0000197	0.049	y
OG0000198	0.999	n
OG0000199	0.407	n
OG0000200	0	y
OG0000201	0.999	n
OG0000202	0.617	n
OG0000204	0.117	n
OG0000205	0.231	n
OG0000206	0	y
OG0000207	0.001	y
OG0000208	0	y
OG0000209	0	y
OG0000210	0.005	y
OG0000211	0.609	n
OG0000212	0.912	n
OG0000213	0.005	y
OG0000214	0	y
OG0000215	0.892	n
OG0000216	0	y
OG0000217	0.203	n
OG0000218	0.544	n
OG0000219	0	y
OG0000220	0.042	y
OG0000222	0	y
OG0000223	0	y
OG0000226	0.008	y
OG0000227	0	y
OG0000229	0	y
OG0000231	0	y
OG0000232	0	y
OG0000235	0	y
OG0000236	0.983	n
OG0000237	0.787	n
OG0000238	0	y
OG0000239	0	y
OG0000240	0.31	n
OG0000241	0.717	n
OG0000242	0	y
OG0000244	0.024	y
OG0000246	0.381	n
OG0000247	0.73	n
OG0000248	0.999	n
OG0000249	0	y
OG0000250	0.001	y
OG0000251	0	y
OG0000253	0.036	y
OG0000254	0	y
OG0000256	0	y
OG0000258	0.525	n
OG0000259	0	y
OG0000260	0.902	n
OG0000261	0.032	y
OG0000262	0	y
OG0000263	0.194	n
OG0000264	0	y
OG0000265	0.948	n
OG0000266	0.112	n
OG0000267	0	y
OG0000268	0	y
OG0000270	0	y
OG0000271	0	y
OG0000272	0.004	y
OG0000273	0.001	y
OG0000274	0	y
OG0000275	0	y
OG0000277	0.858	n
OG0000278	0	y
OG0000279	0.664	n
OG0000280	0	y
OG0000281	0.021	y
OG0000282	0.423	n
OG0000283	0	y
OG0000284	0.021	y
OG0000285	0.001	y
OG0000286	0	y
OG0000287	0.494	n
OG0000288	0.98	n
OG0000289	0.212	n
