FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0000012	2.65628e-22	0.0721437	0.376536	0.297718	0.809205	6.55207e-30	0.00299706	0.102973	0.61898	0.517597	0.942521	0.0910595	0.732514	0.835812	0.0171942	0.722744	0.617096	0.720693	0.0839108	0.432562	0.00211839	5.74881e-13	0.174432	0.170028	0.941675	0.511682	0.162779	0.709356	0.596284	0.49509	0.704201	0.349525	0.220303	0.611975	0.602661	0.709643	0.2656	0.502426	0.94034	0.502104	0.823466	1.22195e-16	0.0228873	0.501526	0.207579	N/A	1.40547e-23	0.263214	0.887989	0.418358	5.72526e-36	0.0414426	0.431813	0.036407	0.730665	0.882253	0.299887	0.155719	0.801675	0.712736	0.878947	0.290412	0.904269	0.846716	0.774412	0.914227	0.748377	0.0809911	0.732859	0.602696	0.473298	0.276566	0.687538	0.802517	0.895102	0.663109	0.831007	0.212322	0.782897	0.76664	0.76664	0.890723	0.889178	0.687783	0.724875	0.572416	0.722109	0.577963	0.577963
OG0000015	2.35301e-12	0.819625	0.000119306	0.0207315	2.00182e-06	3.08364e-09	1.34236e-15	0.00364398	0.577148	0.0640289	0.0383577	0.228646	0.00467814	0.740006	0.0146493	0.190853	0.0469205	0.122667	1.7809e-11	0.705467	0.0375911	0.0630117	0.172662	0.896696	0.696664	0.249876	0.398494	0.277252	0.902888	0.0276576	0.400128	0.263931	0.37995	0.111578	0.134298	0.672447	0.198492	0.659338	0.0204225	0.0204225	0.706097	0.174757	0.52773	6.59368e-12	0.175055	N/A	1.01788e-24	0.0717818	0.0576382	1.23498e-05	5.92747e-14	0.050084	0.0587013	0.887496	0.845806	0.801706	0.701153	0.498211	0.684276	0.609348	0.471733	0.686481	0.549792	0.722819	0.649712	0.225244	0.617533	0.816904	0.606772	0.538418	0.774445	0.429097	0.805028	0.679783	0.3001	0.578688	0.32902	0.785403	0.64703	0.637638	0.00666253	0.456219	0.0507564	0.566088	0.585125	0.715333	0.606772	0.530586	0.530586
OG0000016	1.61972e-17	0.933562	0.560697	0.370744	2.5585e-05	4.34705e-33	0.0516216	0.907371	0.706964	0.363128	0.363128	0.104653	0.0294354	0.90893	0.569053	0.707756	0.175652	0.898683	0.571348	0.45326	0.114554	6.15392e-06	0.239056	0.912147	0.332061	0.0455418	0.398494	0.395762	0.709278	0.116548	0.70874	0.901804	0.539425	0.185804	0.718912	6.93348e-05	0.536345	0.710558	0.389837	0.389837	0.714399	0.394728	0.121546	0.901415	0.713479	N/A	3.45909e-20	0.240587	0.471283	0.147722	9.48135e-07	0.800027	0.196244	0.451724	0.191309	0.440535	0.128932	0.000166162	0.677952	0.604821	0.784578	0.686481	0.182375	0.715333	0.0954939	0.0718251	0.648642	0.370366	0.635935	0.550904	0.291674	0.429097	0.805028	0.679783	0.815918	0.575043	0.70974	0.792439	0.653411	0.643763	0.643763	0.279905	0.802052	0.587935	0.611897	0.722819	0.611897	0.532296	0.532296
OG0000017	2.63631e-10	0.916594	0.60504	0.600534	0.600534	0.00243963	0.923625	0.0373291	0.403897	0.703424	0.703424	0.0606534	0.361711	0.502426	0.501417	0.939597	0.939124	0.323812	0.328493	0.821167	0.0743446	3.56836e-14	0.819924	0.400208	0.246766	0.697543	0.378031	0.0473052	0.304959	0.000630731	0.578701	0.93451	0.0888916	0.80497	0.795946	0.546824	0.0964341	0.789553	0.179909	0.00146027	0.00115506	0.0278233	0.0595805	0.560241	0.282241	N/A	2.86575e-09	0.410834	0.369731	0.819611	1.90613e-11	0.00760335	1.40526e-06	0.0230423	0.899234	0.442393	0.267324	0.00641435	0.783314	0.693342	0.867948	0.259056	0.522691	0.834626	0.755332	0.305207	0.734784	0.00647227	0.719289	0.594172	0.875251	0.0403126	0.878954	0.782899	0.0807996	0.652883	0.51175	0.869494	0.75093	0.380484	0.374537	0.644657	0.05709	0.647027	0.281489	0.816717	0.6946	0.564566	0.564566
OG0000018	0.189915	0.0953641	0.148471	0.0239161	0.549455	0.00734067	0.00193607	0.0955088	0.534543	0.00106016	0.536199	0.932833	0.00451328	0.516295	0.779898	0.484582	0.919164	0.919164	1.46894e-07	0.761975	0.135754	0.00293122	0.76033	0.757843	0.916538	0.467702	0.43498	0.735169	0.424758	0.0936589	0.213461	0.572938	0.909113	0.571067	0.427881	0.90861	0.568141	0.908392	0.73188	0.567845	0.211399	0.209635	0.419298	0.0337768	0.907013	N/A	2.13258e-10	0.000196553	0.101603	0.389225	1.90613e-11	0.00116013	0.0921417	0.560686	0.187225	0.371933	0.749807	0.0043849	0.367678	0.64266	0.546999	0.731892	0.620287	0.770961	0.691654	0.656592	0.662612	0.398923	0.649177	0.556951	0.824628	0.000263592	0.542617	0.699134	0.832384	0.58583	0.373952	0.810652	0.671397	0.661109	0.661109	0.822366	0.819611	0.600208	0.626627	0.386089	0.621822	0.535687	0.535687
OG0000019	5.69022e-05	0.627519	0.629332	0.00157598	0.157261	1.03394e-06	0.238382	0.649142	0.796226	0.34022	0.930333	0.0746858	0.308832	0.803663	0.162237	0.548012	0.93073	0.664769	0.93222	0.933579	0.240285	3.7197e-14	0.359402	0.672258	0.108811	0.268507	0.793187	0.791997	0.262306	0.0498314	0.543331	0.655269	0.928265	0.011859	0.793046	0.142145	0.402637	0.92533	0.925272	0.00108429	0.539723	0.00821456	0.428415	0.929445	0.791696	N/A	2.13258e-10	0.0909263	0.402339	0.337739	1.21912e-07	0.0723825	9.42715e-05	0.00280817	0.67714	0.853538	0.225973	0.0239692	0.756945	0.668026	0.850804	0.765908	0.882265	0.80739	0.725219	0.103856	0.70973	0.00324694	0.6946	0.579904	0.860538	0.566175	0.867051	0.762154	0.182024	0.633643	0.792033	0.610092	0.728928	0.721411	0.721411	0.424188	0.0486523	0.63707	0.669477	0.804014	0.680685	0.558396	0.558396
OG0000020	0.0901575	0.134378	0.0153507	0.0176329	2.85229e-05	0.0151036	0.0691883	0.0444572	0.639395	0.63527	0.507894	0.0245238	0.443936	0.126594	0.78374	0.921371	0.76652	0.920743	0.922469	0.489467	0.149515	2.43169e-08	0.48641	0.919251	0.918174	0.476218	0.139041	0.919164	0.48247	0.000958288	0.762291	0.919195	0.918791	0.612008	0.918348	0.1911	0.918157	0.918157	0.475678	0.360013	0.482037	0.480266	0.612408	0.47978	0.761717	N/A	2.13258e-10	0.000196553	0.101603	8.73056e-05	4.49332e-09	0.000755573	0.00871051	0.560686	0.650696	0.838261	0.749807	0.0139681	0.732216	0.646486	0.186124	0.731892	0.863246	0.775776	0.691654	0.878675	0.667054	0.150507	0.653408	0.558939	0.828611	0.509954	0.843994	0.726921	0.383713	0.606123	0.758012	0.83368	0.697908	0.686914	0.686914	0.843994	0.841581	0.61938	0.649177	0.770961	0.649177	0.545636	0.545636
OG0000021	2.21051e-09	0.914314	0.912818	6.31423e-08	0.00272762	8.41154e-24	0.0288119	0.342065	0.13526	0.712375	0.712375	0.906181	0.297582	0.056144	0.558094	0.253094	0.696488	0.367403	0.711588	0.163175	0.0375911	1.29086e-05	0.0349471	0.358931	0.687318	0.0540173	0.90517	0.0838927	0.192323	0.000659116	0.716524	0.290313	0.288077	0.406611	0.0144523	0.00761776	0.702148	0.524132	0.376081	0.0392046	0.541997	0.713273	0.901415	0.27572	0.713479	N/A	2.37479e-08	0.398168	0.842737	0.80836	5.92747e-14	0.344479	0.401124	0.337415	0.835632	0.467882	0.687791	0.47454	0.671398	0.600208	0.777792	0.279545	0.525614	0.707449	0.637638	0.569171	0.611898	0.288648	0.601535	0.536285	0.766673	0.760636	0.279905	0.686481	0.821859	0.578688	0.70974	0.258398	0.659594	0.643763	0.643763	0.805028	0.492443	0.583708	0.606772	0.722819	0.611897	0.532296	0.532296
OG0000022	1.19178e-11	0.0665527	0.554325	0.0148526	0.0958261	8.83747e-10	0.6727	0.888093	0.876001	0.642278	0.87427	0.680449	0.0881419	0.470608	0.469555	0.454352	0.450902	0.450902	0.00943671	0.649357	0.641934	0.641934	0.646976	0.00167032	0.437017	0.283834	0.877866	0.877051	0.309502	0.000183349	0.657217	0.649605	0.295954	0.876429	0.273015	0.869292	0.425067	0.86895	0.629477	0.629477	0.877307	0.0324946	0.876586	0.876586	0.648984	N/A	9.45046e-16	0.207829	0.0291588	0.0185352	0.0402668	0.761198	0.388879	0.848659	0.46879	0.72526	0.640448	0.130562	0.62663	0.570603	0.72491	0.633649	0.777834	0.671407	0.604169	0.803114	0.587936	0.775162	0.579412	0.527599	0.728962	0.707461	0.754299	0.633649	0.218256	0.556047	0.659601	0.74044	0.611899	0.604169	0.604169	0.404286	0.39849	0.556832	0.573572	0.671407	0.579412	0.521892	0.521892
OG0000023	2.14263e-18	0.113077	0.0301863	0.000124142	0.00313071	7.62418e-16	0.303221	0.720234	0.151017	0.682953	0.346419	0.137943	0.906181	0.117202	0.386969	0.896153	0.696488	0.367403	0.00169758	0.663107	0.129911	2.84015e-06	0.660812	0.657343	0.653115	0.302854	0.0319171	0.686511	0.681479	0.493846	0.889298	0.249815	0.247666	0.365314	0.362853	0.245335	0.496646	0.496646	0.145948	0.345813	0.697028	0.24866	0.248163	0.248163	0.895116	N/A	4.55239e-19	0.23268	0.0702485	0.86267	1.21912e-07	0.807596	0.884221	0.872316	0.168187	0.756981	0.673297	0.107843	0.657556	0.590714	0.76269	0.66559	0.812471	0.707449	0.631332	0.0237528	0.594147	0.245777	0.585125	0.529793	0.739514	0.745212	0.471162	0.658069	0.794688	0.563803	0.69461	0.777801	0.640445	0.631332	0.631332	0.790931	0.465383	0.575043	0.596184	0.707449	0.601535	0.528867	0.528867
