FamilyID	Skow<1>	Anja<2>	Arub<3>	Spur<4>	Ajap<5>	Blan<6>	Cint<7>	Ebur<8>	Cmil<9>	Cpla<10>	Leri<11>	Drer<12>	Sorb<13>	Lcha<14>	Pann<15>	Rbiv<16>	Gser<17>	Muni<18>	Pwal<19>	Bbom<20>	Xtro<21>	Xlae<22>	Sbom<23>	Bbuf<24>	Npar<25>	Rtem<26>	Oana<27>	Mdom<28>	Hsap<29>	Clup<30>	Ttru<31>	Emac<32>	Ctig<33>	Acar<34>	Tgut<35>	Ggal<36>	Amis<37>	Asin<38>	Ggan<39>	Cpor<40>	Psin<41>	Pmeg<42>	Tcar<43>	Cpic<44>	Cser<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>	<64>	<65>	<66>	<67>	<68>	<69>	<70>	<71>	<72>	<73>	<74>	<75>	<76>	<77>	<78>	<79>	<80>	<81>	<82>	<83>	<84>	<85>	<86>	<87>	<88>	<89>
OG0000012	45	6	-3	3	-1	59	11	-6	-2	2	0	6	1	-1	9	1	-2	1	6	-3	-11	32	-5	-5	0	2	-5	1	-2	2	1	3	4	-2	-2	1	-4	2	0	2	-1	-28	8	2	4	0	23	2	0	1	28	4	2	6	-1	0	1	4	0	0	0	1	0	0	0	0	0	4	0	0	1	-2	-1	0	0	0	0	2	0	0	0	0	0	0	0	-1	0	0	0
OG0000015	29	-1	-13	9	20	20	31	-7	1	-4	5	-3	7	-1	6	-3	-4	3	21	-1	-4	4	-3	0	-1	2	-2	2	0	5	-2	2	-2	3	-3	-1	2	-1	-4	-4	-1	-3	1	20	-3	0	24	4	4	9	12	3	-4	0	0	0	0	1	0	0	-1	0	-1	0	0	-2	0	0	0	0	0	-1	0	0	1	0	-1	0	0	0	-2	-1	-2	0	0	0	0	0	0
OG0000016	36	0	-2	-3	15	51	-4	0	-1	-2	-2	4	6	0	1	-1	-3	0	1	-2	-4	13	-3	0	2	5	-2	-2	-1	3	-1	0	1	-3	-1	10	1	-1	-2	-2	-1	-2	3	0	-1	0	20	2	1	2	6	0	2	1	-2	-1	1	8	0	0	0	0	-2	0	1	3	0	1	0	0	1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OG0000017	21	0	1	1	1	8	0	7	-3	1	1	7	3	2	2	0	0	3	3	-1	-6	33	-1	-3	-4	1	-3	-6	3	12	-2	0	5	-1	-1	-2	5	-1	-4	-9	-10	7	6	-2	3	0	10	1	1	0	10	4	13	6	0	1	1	8	0	0	0	1	1	0	0	2	0	6	0	0	0	-3	0	0	3	0	-1	0	0	-1	-1	-1	-3	0	-1	0	0	0	0
OG0000018	3	5	4	7	-2	7	9	5	-2	10	-2	0	9	-2	-1	-2	0	0	17	-1	-4	8	-1	-1	0	-2	-2	-1	-2	4	-3	1	0	1	-2	0	1	0	-1	1	-3	-3	-2	5	0	0	11	7	3	1	10	5	4	1	2	1	0	7	-1	0	-1	0	-1	0	0	-1	0	1	0	0	0	-5	-1	0	0	0	-1	0	0	0	0	0	0	0	0	-1	0	0	0
OG0000019	12	1	1	9	-4	14	-3	1	-1	-3	0	6	3	-1	4	-2	0	1	0	0	-4	31	-3	1	-5	3	-1	-1	3	6	-2	1	0	-7	-1	4	2	0	0	-9	-2	8	2	0	-1	0	11	3	1	1	7	2	9	7	-1	0	1	6	0	0	0	0	0	0	0	3	0	6	0	0	0	-1	0	0	2	0	0	-1	0	0	0	1	-3	0	0	0	0	0	0
OG0000020	4	4	-7	8	15	6	5	6	1	1	-2	7	2	4	-1	0	-1	0	0	-2	-4	18	-2	0	0	-2	-4	0	-2	9	-1	0	0	1	0	3	0	0	-2	2	-2	-2	1	-2	-1	0	11	7	3	7	8	5	6	1	-1	0	0	6	0	0	-2	0	0	0	0	0	0	2	0	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000021	19	0	0	16	-7	42	6	2	3	-1	-1	0	2	-4	1	2	-1	-2	-1	-3	-4	11	-4	-2	-1	4	0	4	-3	8	-1	2	2	-2	-5	6	-1	1	-2	-4	1	-1	0	2	-1	0	9	1	0	0	12	1	-2	-2	0	-1	0	1	0	0	0	-1	-1	0	0	-1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0
OG0000022	25	-5	-2	8	5	17	-1	0	0	-1	0	-1	3	1	1	1	1	1	5	-1	-1	-1	-1	6	1	-2	0	0	-2	8	-1	-1	-2	0	-2	0	1	0	-1	-1	0	4	0	0	-1	0	16	2	4	4	2	0	1	0	-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0
OG0000023	37	-5	7	13	-9	28	2	-1	-3	-1	-2	3	0	3	-2	0	-1	-2	7	-1	-3	11	-1	-1	-1	-2	-4	-1	-1	1	0	2	2	-2	-2	2	1	1	-3	-2	-1	2	2	2	0	0	19	2	3	0	7	0	0	0	-2	0	0	3	0	0	0	0	0	0	0	-3	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
OG0000024	11	4	0	3	-3	14	-4	2	-1	1	2	-1	7	3	2	2	-3	2	-1	-1	-5	27	-1	-3	-3	1	-3	-4	0	7	0	2	1	-3	0	6	0	-3	-4	-1	-10	5	2	4	1	0	8	1	0	0	7	1	10	6	0	1	0	4	0	0	0	0	1	0	0	1	0	5	0	0	0	-1	0	0	2	0	0	0	0	0	0	1	-4	0	0	0	1	0	0
OG0000027	5	1	-1	-3	12	5	0	-1	2	1	1	2	4	1	2	2	-2	1	3	-2	-4	27	-2	-2	0	-2	0	0	-1	7	-2	0	-1	-1	-4	4	3	1	-4	-1	-4	-1	2	1	2	0	5	2	1	1	6	3	7	7	1	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0
OG0000028	33	0	1	0	-3	24	-5	-2	-2	0	0	4	8	-2	2	-2	-3	-2	11	0	-2	12	-3	-3	-2	-1	-1	1	-2	1	1	0	1	0	1	0	1	0	1	0	0	3	5	0	-4	0	3	-2	-1	-1	4	0	4	6	0	0	1	8	0	0	0	0	-4	0	0	-1	0	2	0	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000029	2	1	-3	-2	3	-2	0	-4	-4	-7	12	19	19	-21	17	18	-4	-13	12	13	-5	-1	-13	21	7	-4	-12	-5	23	1	-3	28	-8	0	-4	12	1	12	-10	-10	-6	-15	0	-1	3	0	0	0	-1	0	0	2	8	21	0	1	4	35	0	1	0	2	-1	-3	2	5	0	-3	0	0	0	-4	-1	1	6	0	-1	3	0	-3	0	1	-2	0	-2	-3	0	0	0
OG0000030	1	5	-5	-3	30	1	17	11	20	2	-8	-3	-1	5	-1	0	-3	-1	26	-1	-1	-1	-2	-3	-1	2	-3	-2	-3	5	-4	-3	-3	1	-3	-5	10	3	-4	-3	1	-2	4	-3	16	0	6	4	1	3	8	8	3	-3	2	-1	-1	-2	0	0	-3	0	-3	-1	0	-4	0	-1	0	0	0	-2	-2	0	0	0	0	-1	0	0	0	-3	0	1	0	2	0	0	0
OG0000031	54	-2	5	5	-7	14	-3	0	0	2	-2	1	3	1	3	0	-1	-1	10	-1	-1	5	0	0	1	-1	-1	0	-3	2	-1	-1	1	-2	1	-2	2	0	-2	-1	-3	-1	1	0	1	0	17	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
