#Taxon_ID	Increase	Decrease
<55>	243	631
Ajap<5>	2824	1076
<61>	94	240
<47>	401	118
Skow<1>	1449	1490
<48>	385	479
Cpla<10>	849	473
Ctig<33>	519	509
<62>	106	158
<52>	203	873
Anja<2>	1145	1365
<51>	148	10
Blan<6>	1419	1243
<58>	1490	613
Drer<12>	1232	295
Pwal<19>	1426	527
<70>	3	1
<49>	259	316
Arub<3>	451	1523
<50>	715	308
Spur<4>	1476	818
<54>	1344	173
Cmil<9>	920	950
Lcha<14>	708	1267
Cint<7>	764	2750
<53>	1175	511
Ebur<8>	1170	1989
<56>	140	186
<66>	295	381
<64>	28	71
<68>	766	127
Pann<15>	1041	891
Leri<11>	530	727
<82>	81	640
<63>	111	449
Emac<32>	442	288
<57>	164	67
Rbiv<16>	695	314
Sorb<13>	1394	607
<59>	28	101
<67>	14	32
<60>	22	24
<69>	6	110
<65>	104	35
Xtro<21>	248	654
Gser<17>	365	500
Muni<18>	843	336
<83>	57	248
Bbuf<24>	411	615
Bbom<20>	908	625
Mdom<28>	855	740
Xlae<22>	4648	74
<85>	0	51
<80>	28	99
<74>	135	47
Oana<27>	327	944
<78>	107	259
<79>	9	4
Acar<34>	669	1115
<71>	77	200
<72>	67	470
<73>	128	434
Sbom<23>	243	647
Ggan<39>	114	1783
<86>	116	78
<76>	13	0
Clup<30>	2700	282
<77>	43	109
Hsap<29>	247	484
Npar<25>	509	620
Rtem<26>	557	392
<75>	316	118
Tcar<43>	1327	515
Cpic<44>	715	373
Pmeg<42>	984	855
<81>	3	252
Ttru<31>	597	411
Tgut<35>	539	874
Cpor<40>	269	1650
Amis<37>	826	583
Ggal<36>	890	640
<84>	17	0
Asin<38>	554	309
<88>	6	35
<87>	75	4
Psin<41>	329	1447
<89>	3	0
Cser<45>	848	802
