#FamilyID	Likelihood of Family
OG0000012	-452.606
OG0000015	-382.184
OG0000016	-318.497
OG0000017	-273.709
OG0000018	-224.064
OG0000019	-244.839
OG0000020	-222.009
OG0000021	-271.806
OG0000022	-198.838
OG0000023	-268.866
OG0000024	-229.926
OG0000027	-196.936
OG0000028	-237.329
OG0000029	-461.422
OG0000030	-319
OG0000031	-239.835
OG0000032	-233.462
OG0000033	-260.575
OG0000036	-249.796
OG0000038	-409.577
OG0000039	-374.636
OG0000040	-178.628
OG0000041	-413.094
OG0000042	-188.176
OG0000043	-192.856
OG0000046	-221.349
OG0000047	-200.894
OG0000048	-284.915
OG0000049	-187.922
OG0000050	-325.099
OG0000051	-160.999
OG0000053	-286.27
OG0000054	-190.215
OG0000055	-170.899
OG0000056	-372.006
OG0000060	-372.81
OG0000062	-420.761
OG0000063	-314.244
OG0000064	-174.46
OG0000066	-141.879
OG0000067	-69.3876
OG0000068	-141.968
OG0000069	-166.413
OG0000070	-293.562
OG0000071	-159.526
OG0000072	-130.831
OG0000073	-157.809
OG0000074	-296.987
OG0000075	-171.061
OG0000076	-148.558
OG0000078	-185.384
OG0000079	-141.372
OG0000080	-170.212
OG0000081	-93.6279
OG0000083	-190.059
OG0000085	-178.343
OG0000086	-145.04
OG0000087	-171.777
OG0000088	-202.282
OG0000089	-43.3329
OG0000090	-206.833
OG0000091	-134.212
OG0000092	-216.292
OG0000093	-161.274
OG0000094	-148.823
OG0000095	-157.535
OG0000096	-286.62
OG0000097	-259.605
OG0000098	-132.635
OG0000099	-189.741
OG0000100	-159.517
OG0000101	-136.16
OG0000102	-210.024
OG0000103	-146.353
OG0000104	-153.828
OG0000105	-139.103
OG0000106	-138.021
OG0000107	-250.748
OG0000108	-180.47
OG0000109	-182.33
OG0000110	-118.85
OG0000111	-140.306
OG0000112	-160.207
OG0000113	-183.102
OG0000114	-196.284
OG0000116	-180.291
OG0000117	-170.859
OG0000118	-162.994
OG0000119	-260.121
OG0000120	-155.504
OG0000121	-118.552
OG0000122	-105.122
OG0000123	-182.259
OG0000124	-179.039
OG0000125	-91.0966
OG0000126	-130.065
OG0000127	-171.054
OG0000128	-293.286
OG0000129	-138.461
OG0000130	-125.6
OG0000132	-115.271
OG0000133	-152.232
OG0000134	-143.08
OG0000136	-191.975
OG0000137	-146.899
OG0000138	-217.696
OG0000139	-238.5
OG0000140	-148.009
OG0000141	-120.025
OG0000142	-179.054
OG0000143	-111.838
OG0000144	-105.157
OG0000145	-112.967
OG0000146	-158.179
OG0000147	-67.5425
OG0000148	-158.693
OG0000150	-139.193
OG0000151	-164.292
OG0000152	-159.37
OG0000153	-97.5827
OG0000154	-117.552
OG0000155	-109.949
OG0000156	-142.203
OG0000157	-132.61
OG0000158	-154.133
OG0000159	-193.897
OG0000160	-125.224
OG0000161	-125.589
OG0000162	-127.872
OG0000163	-120.121
OG0000164	-178.352
OG0000165	-137.751
OG0000167	-136.167
OG0000168	-45.07
OG0000169	-123.011
OG0000170	-118.178
OG0000171	-117.709
OG0000172	-304.873
OG0000173	-142.061
OG0000174	-105.956
OG0000175	-165.72
OG0000176	-257.4
OG0000177	-284.607
OG0000178	-164.664
OG0000179	-127.859
OG0000180	-115.29
OG0000181	-125.882
OG0000182	-110.346
OG0000183	-54.7377
OG0000184	-108.493
OG0000185	-102.057
OG0000186	-140.755
OG0000188	-176.106
OG0000189	-173.938
OG0000190	-109.882
OG0000191	-11.9529
OG0000192	-110.691
