#FamilyID	pvalue	Significant at 0.05
OG0000012	0	y
OG0000015	0	y
OG0000016	0	y
OG0000017	0	y
OG0000018	0	y
OG0000019	0	y
OG0000020	0	y
OG0000021	0	y
OG0000022	0	y
OG0000023	0	y
OG0000024	0	y
OG0000027	0	y
OG0000028	0	y
OG0000029	0	y
OG0000030	0	y
OG0000031	0	y
OG0000032	0	y
OG0000033	0	y
OG0000036	0	y
OG0000038	0	y
OG0000039	0	y
OG0000040	0	y
OG0000041	0	y
OG0000042	0	y
OG0000043	0	y
OG0000046	0	y
OG0000047	0	y
OG0000048	0	y
OG0000049	0	y
OG0000050	0	y
OG0000051	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000056	0	y
OG0000060	0	y
OG0000062	0	y
OG0000063	0	y
OG0000064	0	y
OG0000066	0	y
OG0000067	0.997	n
OG0000068	0.014	y
OG0000069	0.001	y
OG0000070	0	y
OG0000071	0	y
OG0000072	0.467	n
OG0000073	0	y
OG0000074	0	y
OG0000075	0	y
OG0000076	0	y
OG0000078	0	y
OG0000079	0.047	y
OG0000080	0	y
OG0000081	0.772	n
OG0000083	0	y
OG0000085	0	y
OG0000086	0	y
OG0000087	0	y
OG0000088	0	y
OG0000089	0.896	n
OG0000090	0	y
OG0000091	0.05	n
OG0000092	0	y
OG0000093	0	y
OG0000094	0	y
OG0000095	0	y
OG0000096	0	y
OG0000097	0	y
OG0000098	0.012	y
OG0000099	0	y
OG0000100	0	y
OG0000101	0.005	y
OG0000102	0	y
OG0000103	0	y
OG0000104	0	y
OG0000105	0.054	n
OG0000106	0	y
OG0000107	0	y
OG0000108	0	y
OG0000109	0	y
OG0000110	0.023	y
OG0000111	0	y
OG0000112	0	y
OG0000113	0	y
OG0000114	0	y
OG0000116	0.01	y
OG0000117	0	y
OG0000118	0	y
OG0000119	0	y
OG0000120	0.041	y
OG0000121	0.004	y
OG0000122	0.275	n
OG0000123	0.001	y
OG0000124	0	y
OG0000125	0.541	n
OG0000126	0	y
OG0000127	0	y
OG0000128	0	y
OG0000129	0	y
OG0000130	0.002	y
OG0000132	0.146	n
OG0000133	0.002	y
OG0000134	0	y
OG0000136	0	y
OG0000137	0	y
OG0000138	0	y
OG0000139	0	y
OG0000140	0	y
OG0000141	0.167	n
OG0000142	0	y
OG0000143	0.036	y
OG0000144	0.275	n
OG0000145	0.121	n
OG0000146	0.007	y
OG0000147	0.915	n
OG0000148	0	y
OG0000150	0.01	y
OG0000151	0	y
OG0000152	0	y
OG0000153	0.877	n
OG0000154	0.036	y
OG0000155	0	y
OG0000156	0	y
OG0000157	0	y
OG0000158	0	y
OG0000159	0	y
OG0000160	0.003	y
OG0000161	0	y
OG0000162	0	y
OG0000163	0.004	y
OG0000164	0	y
OG0000165	0	y
OG0000167	0	y
OG0000168	0.999	n
OG0000169	0.008	y
OG0000170	0.075	n
OG0000171	0.215	n
OG0000172	0	y
OG0000173	0	y
OG0000174	0.129	n
OG0000175	0	y
OG0000176	0	y
OG0000177	0	y
OG0000178	0	y
OG0000179	0.012	y
OG0000180	0.026	y
OG0000181	0	y
OG0000182	0.032	y
OG0000183	0.999	n
OG0000184	0.004	y
OG0000185	0.102	n
OG0000186	0	y
OG0000188	0	y
OG0000189	0	y
OG0000190	0	y
OG0000191	0.973	n
OG0000192	0.041	y
OG0000194	0	y
OG0000195	0	y
OG0000196	0.042	y
OG0000197	0.013	y
OG0000198	0	y
OG0000199	0	y
OG0000200	0.001	y
OG0000201	0.002	y
OG0000202	0.338	n
OG0000203	0	y
OG0000204	0.036	y
OG0000205	0	y
OG0000206	0	y
OG0000207	0	y
OG0000208	0	y
OG0000209	0.915	n
OG0000210	0	y
OG0000211	0	y
OG0000212	0.002	y
OG0000213	0.065	n
OG0000214	0.131	n
OG0000215	0.005	y
OG0000216	0	y
OG0000217	0	y
OG0000218	0.058	n
OG0000219	0	y
OG0000220	0	y
OG0000222	0.929	n
OG0000223	0	y
OG0000224	0	y
OG0000226	0.009	y
OG0000227	0.757	n
OG0000229	0	y
OG0000231	0.002	y
OG0000232	0.999	n
OG0000233	0	y
OG0000234	0	y
OG0000235	0	y
OG0000236	0.003	y
OG0000237	0.001	y
OG0000238	0.5	n
OG0000239	0.231	n
OG0000240	0.007	y
OG0000241	0.998	n
OG0000242	0.373	n
OG0000243	0	y
OG0000244	0.013	y
OG0000246	0.097	n
OG0000247	0	y
OG0000248	0	y
OG0000249	0.002	y
OG0000250	0.053	n
OG0000251	0.299	n
OG0000253	0.272	n
OG0000254	0	y
OG0000255	0	y
OG0000256	0	y
OG0000257	0	y
OG0000258	0	y
OG0000260	0.588	n
OG0000261	0.589	n
OG0000262	0.094	n
OG0000263	0.169	n
OG0000264	0	y
OG0000265	0	y
OG0000266	0.867	n
OG0000267	0	y
OG0000268	0	y
OG0000269	0.988	n
OG0000270	0.002	y
OG0000271	0.999	n
OG0000272	0	y
OG0000273	0.997	n
OG0000275	0	y
OG0000277	0.014	y
OG0000278	0.76	n
OG0000279	0.518	n
OG0000280	0	y
OG0000281	0.032	y
OG0000282	0	y
OG0000283	0.908	n
OG0000284	0	y
OG0000285	0.63	n
OG0000286	0.084	n
OG0000287	0	y
OG0000288	0	y
OG0000289	0.049	y
OG0000290	0	y
OG0000291	0.768	n
OG0000292	0	y
OG0000293	0	y
OG0000294	0	y
OG0000295	0.945	n
OG0000297	0	y
OG0000298	0.599	n
OG0000299	0.003	y
OG0000300	0.953	n
OG0000301	0	y
OG0000302	0.031	y
OG0000303	0.121	n
OG0000304	0.012	y
OG0000305	0	y
OG0000306	0.042	y
OG0000308	0.522	n
OG0000309	0.443	n
OG0000310	0.003	y
OG0000311	0.198	n
OG0000312	0.04	y
OG0000314	0.085	n
OG0000315	0.145	n
OG0000316	0	y
OG0000317	0.444	n
OG0000318	0.001	y
OG0000319	0.75	n
OG0000320	0	y
OG0000321	0.981	n
OG0000322	0.063	n
OG0000323	0.803	n
OG0000324	0.75	n
OG0000325	0.776	n
OG0000326	0	y
OG0000327	0.065	n
OG0000328	0.999	n
OG0000329	0	y
OG0000330	0.693	n
OG0000331	0.999	n
OG0000332	0.591	n
OG0000333	0.13	n
OG0000334	0.011	y
OG0000335	0.999	n
OG0000336	0.98	n
OG0000338	0.002	y
OG0000339	0.105	n
OG0000340	0.366	n
OG0000341	0.896	n
OG0000342	0.01	y
OG0000343	0.008	y
OG0000344	0.993	n
OG0000345	0.27	n
OG0000346	0.001	y
OG0000347	0.007	y
OG0000348	0.999	n
OG0000350	0.077	n
OG0000351	0.13	n
OG0000352	0.263	n
OG0000353	0.978	n
OG0000354	0.001	y
OG0000355	0.279	n
OG0000356	0.162	n
OG0000357	0.593	n
OG0000358	0.161	n
OG0000359	0.951	n
OG0000360	0.005	y
OG0000362	0.001	y
OG0000363	0.787	n
OG0000364	0	y
OG0000365	0.984	n
OG0000366	0	y
OG0000367	0.029	y
OG0000369	0.19	n
OG0000370	0.006	y
OG0000371	0.005	y
OG0000372	0.995	n
OG0000373	0.051	n
OG0000374	0.149	n
OG0000375	0.361	n
OG0000378	0.077	n
OG0000379	0.081	n
OG0000380	0.589	n
OG0000381	0.666	n
OG0000382	0	y
OG0000383	0.003	y
OG0000384	0.799	n
OG0000385	0	y
OG0000386	0	y
OG0000387	0.979	n
OG0000388	0.075	n
OG0000389	0.019	y
OG0000390	0	y
OG0000391	0.294	n
OG0000392	0	y
OG0000393	0.114	n
OG0000395	0.967	n
OG0000396	0.176	n
OG0000397	0.783	n
OG0000398	0	y
OG0000399	0.002	y
OG0000400	0.992	n
OG0000401	0.468	n
OG0000402	0.229	n
OG0000403	0.914	n
OG0000404	0.037	y
OG0000405	0.996	n
OG0000407	0.004	y
OG0000409	0	y
OG0000410	0.929	n
OG0000411	0.362	n
OG0000413	0	y
OG0000414	0.99	n
OG0000415	0.22	n
OG0000416	0.001	y
OG0000417	0.006	y
OG0000418	0.339	n
OG0000419	0.123	n
OG0000420	0	y
OG0000422	0.973	n
OG0000423	0.001	y
OG0000424	0.346	n
OG0000426	0.542	n
OG0000427	0.395	n
OG0000428	0.989	n
OG0000429	0.129	n
OG0000431	0.003	y
OG0000432	0.827	n
OG0000433	0.017	y
OG0000434	0.981	n
OG0000435	0.488	n
OG0000436	0.983	n
OG0000437	0.192	n
OG0000438	0	y
OG0000439	0.065	n
OG0000440	0.999	n
OG0000441	0	y
OG0000442	0.999	n
OG0000443	0	y
OG0000444	0.528	n
OG0000445	0.137	n
OG0000446	0.903	n
OG0000447	0.516	n
OG0000448	0	y
OG0000449	0	y
OG0000450	0	y
OG0000451	0.011	y
OG0000452	0.161	n
OG0000453	0.999	n
OG0000454	0	y
OG0000455	0.145	n
OG0000456	0.991	n
OG0000457	0.022	y
OG0000458	0	y
OG0000459	0.425	n
OG0000460	0	y
OG0000461	0.022	y
OG0000462	0.214	n
OG0000463	0.967	n
OG0000464	0.053	n
OG0000465	0.371	n
OG0000466	0.005	y
OG0000467	0	y
OG0000468	0.043	y
OG0000469	0	y
OG0000470	0	y
OG0000471	0.394	n
OG0000472	0.318	n
OG0000473	0	y
OG0000474	0.873	n
OG0000475	0.885	n
OG0000476	0.626	n
OG0000477	0.354	n
OG0000478	0	y
OG0000479	0.001	y
OG0000480	0.31	n
OG0000481	0.901	n
OG0000482	0	y
OG0000483	0.307	n
OG0000484	0.896	n
OG0000485	0.707	n
OG0000486	0.495	n
OG0000487	0.994	n
OG0000488	0.935	n
OG0000490	0.022	y
OG0000491	0.999	n
OG0000492	0.999	n
