"feature","p_value","odds_ratio","prop_Group_A","prop_Group_B","abs_diff","padj","enriched_in"
"1-cysPrx_C",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"14-3-3",0.00156879633332308,0,0.277777777777778,0,0.277777777777778,0.0102491865864731,"Group_A"
"2-Hacid_dh",0.00627518533329232,0,0.222222222222222,0,0.222222222222222,0.0231323459338111,"Group_A"
"2-Hacid_dh_C",0.00627518533329232,0,0.222222222222222,0,0.222222222222222,0.0231323459338111,"Group_A"
"2OG-FeII_Oxy",0.00627518533329232,0,0.222222222222222,0,0.222222222222222,0.0231323459338111,"Group_A"
"2OG-FeII_Oxy_2",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"2OG-FeII_Oxy_3",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"2_5_RNA_ligase2",0.0238457042665108,0,0.166666666666667,0,0.166666666666667,0.0640392367157327,"Group_A"
"3-PAP",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"4HBT_3",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"7TM_GPCR_Srab",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"7TM_GPCR_Srbc",0.00156879633332308,0,0.277777777777778,0,0.277777777777778,0.0102491865864731,"Group_A"
"7TM_GPCR_Srd",0.00156879633332308,0,0.277777777777778,0,0.277777777777778,0.0102491865864731,"Group_A"
"7TM_GPCR_Srh",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"7TM_GPCR_Srsx",1.71021822500629e-05,0,0.444444444444444,0,0.444444444444444,0.000287426998460734,"Group_A"
"7TM_GPCR_Srt",1.71021822500629e-05,0,0.444444444444444,0,0.444444444444444,0.000287426998460734,"Group_A"
"7TM_GPCR_Srv",1.71021822500629e-05,0,0.444444444444444,0,0.444444444444444,0.000287426998460734,"Group_A"
"7TM_GPCR_Srw",0.352081241837925,0.391610328856201,0.166666666666667,0.0714285714285714,0.0952380952380952,0.39251282524442,"Group_A"
"7TM_GPCR_Srx",8.2401423568485e-05,0,0.388888888888889,0,0.388888888888889,0.000919953035982443,"Group_A"
"7TM_GPCR_Str",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"7tm_1",0.0099014484691768,0.198176830042418,0.722222222222222,0.333333333333333,0.388888888888889,0.0354141051654996,"Group_A"
"7tm_2",0.57624042572826,0.406956456391179,0.111111111111111,0.0476190476190476,0.0634920634920635,0.622005376666623,"Group_A"
"7tm_3",1,1.10915090119057,0.333333333333333,0.357142857142857,0.0238095238095238,1,"Group_B"
"7tm_4",0.024478237376355,Inf,0,0.261904761904762,0.261904761904762,0.0646333751297258,"Group_B"
"7tm_7",1,Inf,0,0.0238095238095238,0.0238095238095238,1,"Group_B"
"A1_Propeptide",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"A2M",0.57624042572826,0.406956456391179,0.111111111111111,0.0476190476190476,0.0634920634920635,0.622005376666623,"Group_A"
"A2M_N",1,0.852386217286031,0.0555555555555556,0.0476190476190476,0.00793650793650794,1,"Group_A"
"A2M_N_2",1,0.852386217286031,0.0555555555555556,0.0476190476190476,0.00793650793650794,1,"Group_A"
"A2M_comp",0.57624042572826,0.406956456391179,0.111111111111111,0.0476190476190476,0.0634920634920635,0.622005376666623,"Group_A"
"A2M_recep",1,Inf,0,0.0476190476190476,0.0476190476190476,1,"Group_B"
"AAA",0.000527381773910312,0.0664941706408502,0.444444444444444,0.0476190476190476,0.396825396825397,0.00455801310433729,"Group_A"
"AAA_12",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"AAA_2",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"AAA_22",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"AAA_33",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"AAA_5",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"AAA_6",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"AAA_7",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"AAA_8",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"AAA_9",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"AA_kinase",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"AA_permease",0.00627518533329232,0,0.222222222222222,0,0.222222222222222,0.0231323459338111,"Group_A"
"AA_permease_2",1.71021822500629e-05,0,0.444444444444444,0,0.444444444444444,0.000287426998460734,"Group_A"
"ABC2_membrane",0.0238457042665108,0,0.166666666666667,0,0.166666666666667,0.0640392367157327,"Group_A"
"ABC2_membrane_3",0.00627518533329232,0,0.222222222222222,0,0.222222222222222,0.0231323459338111,"Group_A"
"ABC_membrane",8.2401423568485e-05,0,0.388888888888889,0,0.388888888888889,0.000919953035982443,"Group_A"
"ABC_membrane_2",0.0864406779661017,0,0.111111111111111,0,0.111111111111111,0.15820466002461,"Group_A"
"ABC_tran",1.71021822500629e-05,0,0.444444444444444,0,0.444444444444444,0.000287426998460734,"Group_A"
"ABC_trans_N",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"ACAS_N",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"ACBP",0.000370806406058182,0,0.333333333333333,0,0.333333333333333,0.003350117992306,"Group_A"
"ACC_central",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
"ACOX",0.3,0,0.0555555555555556,0,0.0555555555555556,0.337338129496403,"Group_A"
