"feature","p_value","odds_ratio","prop_Group_A","prop_Group_B","abs_diff","padj","enriched_in"
"ERAP1_C",1.53400502270781e-11,0,0.833333333333333,0,0.833333333333333,1.19882492524616e-08,"Group_A"
"Peptidase_M1",1.53400502270781e-11,0,0.833333333333333,0,0.833333333333333,1.19882492524616e-08,"Group_A"
"Neur_chan_LBD",1.08970246717733e-09,0.00920134021163796,0.944444444444444,0.119047619047619,0.825396825396825,1.8924499513313e-07,"Group_A"
"Neur_chan_memb",1.08970246717733e-09,0.00920134021163796,0.944444444444444,0.119047619047619,0.825396825396825,1.8924499513313e-07,"Group_A"
"Ras",8.66577707013964e-10,0.0114983143361047,0.888888888888889,0.0714285714285714,0.817460317460317,1.8924499513313e-07,"Group_A"
"Y_phosphatase",2.30100753406172e-10,0.00610696429088827,0.833333333333333,0.0238095238095238,0.80952380952381,5.99412462623078e-08,"Group_A"
"Pkinase_Tyr",4.13488405306898e-09,0.01522862917477,0.888888888888889,0.0952380952380952,0.793650793650794,4.61630269639059e-07,"Group_A"
"Ldl_recept_a",1.83104417710486e-09,0.0119493331249536,0.833333333333333,0.0476190476190476,0.785714285714286,2.38493504067908e-07,"Group_A"
"Hormone_recep",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,5.51459465613232e-08,"Group_A"
"Peptidase_C1",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,5.51459465613232e-08,"Group_A"
"zf-C4",1.76410577611399e-10,0,0.777777777777778,0,0.777777777777778,5.51459465613232e-08,"Group_A"
"fn3",1.65544481680781e-08,0.0191089116015464,0.888888888888889,0.119047619047619,0.76984126984127,1.26748489823753e-06,"Group_A"
"MFS_1",2.43139796099188e-09,0.00833500346391864,0.777777777777778,0.0238095238095238,0.753968253968254,2.92328847156178e-07,"Group_A"
"BTB",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,1.26748489823753e-06,"Group_A"
"EF-hand_5",1.78404784140919e-08,0.0165108275150163,0.777777777777778,0.0476190476190476,0.73015873015873,1.26748489823753e-06,"Group_A"
"COesterase",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,2.35623589852927e-07,"Group_A"
"DDE_3",1.65825942954715e-09,0,0.722222222222222,0,0.722222222222222,2.35623589852927e-07,"Group_A"
"p450",1.80581525376629e-07,0.0274812836189182,0.888888888888889,0.166666666666667,0.722222222222222,9.10480400527971e-06,"Group_A"
"EF-hand_1",1.41113122038893e-07,0.0217091549972236,0.722222222222222,0.0476190476190476,0.674603174603175,7.60551068092376e-06,"Group_A"
"Astacin",1.32660754363772e-08,0,0.666666666666667,0,0.666666666666667,1.09130925826619e-06,"Group_A"
"Lipase_2",1.32660754363772e-08,0,0.666666666666667,0,0.666666666666667,1.09130925826619e-06,"Group_A"
"Metallophos",1.32660754363772e-08,0,0.666666666666667,0,0.666666666666667,1.09130925826619e-06,"Group_A"
"Sugar_tr",1.32660754363772e-08,0,0.666666666666667,0,0.666666666666667,1.09130925826619e-06,"Group_A"
"UDPGT",1.32660754363772e-08,0,0.666666666666667,0,0.666666666666667,1.09130925826619e-06,"Group_A"
"SH2",1.52559867518337e-07,0.0138471149346785,0.666666666666667,0.0238095238095238,0.642857142857143,7.94836909770536e-06,"Group_A"
"CUB",9.42385305600093e-07,0.027733663144681,0.666666666666667,0.0476190476190476,0.619047619047619,3.59255666500718e-05,"Group_A"
"EF-hand_6",9.42385305600093e-07,0.027733663144681,0.666666666666667,0.0476190476190476,0.619047619047619,3.59255666500718e-05,"Group_A"
"Collagen",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"LIM",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"Lipase_GDSL_2",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"MAM",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"Pkinase",1.03130947683359e-05,0.0311742564707509,0.944444444444444,0.333333333333333,0.611111111111111,0.000287426998460734,"Group_A"
"ShK",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"VWA",9.28625280546404e-08,0,0.611111111111111,0,0.611111111111111,5.18371897676439e-06,"Group_A"
"Guanylate_cyc",5.45567352321012e-06,0.0348209880254737,0.611111111111111,0.0476190476190476,0.563492063492063,0.000157911439199582,"Group_A"
"CH",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"DUF1768",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"HTH_Tnp_Tc3_2",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"Inhibitor_I29",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"MH1",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"MH2",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"PAN_1",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"Reprolysin",5.80390800341502e-07,0,0.555555555555556,0,0.555555555555556,2.32602774598402e-05,"Group_A"
"Hydrolase",2.20043969877802e-05,0.0528230234865035,0.611111111111111,0.0714285714285714,0.53968253968254,0.00036588162225426,"Group_A"
"AMP-binding",5.45567352321012e-06,0.0214960446622083,0.555555555555556,0.0238095238095238,0.531746031746032,0.000157911439199582,"Group_A"
"Prion",6.34293167083755e-05,Inf,0,0.523809523809524,0.523809523809524,0.000919953035982443,"Group_B"
"Prion_bPrPp",6.34293167083755e-05,Inf,0,0.523809523809524,0.523809523809524,0.000919953035982443,"Group_B"
