HG_224410	OG0224409: Ebro_g35013.t1
HG_15363	OG0015362: Ebro_g11061.t1 Ebro_g11062.t1 Ebro_g11310.t1 Ebro_g14034.t1 Ebro_g14719.t2 Ebro_g14922.t3 Ebro_g16567.t1 Ebro_g21416.t2 Ebro_g21417.t1 Ebro_g21486.t1 Ebro_g23790.t1 Ebro_g25122.t1 Ebro_g29364.t1 Ebro_g3034.t2 Ebro_g31344.t1 Ebro_g34823.t1 Ebro_g36.t2 Ebro_g36516.t1 Ebro_g37685.t1 Ebro_g38414.t1 Ebro_g39371.t1 Ebro_g42696.t2 Ebro_g44757.t1 Ebro_g4902.t1 Ebro_g5477.t1 Ebro_g5478.t1
HG_113670	OG0113669: Ebro_g27599.t1 Ebro_g9505.t1
HG_113872	OG0113871: Ebro_g16518.t1 Ebro_g16518.t2
HG_113556	OG0113555: Ebro_g36618.t1 Ebro_g43015.t1
HG_113758	OG0113757: Ebro_g36068.t1 Ebro_g36068.t2
HG_37808	OG0037807: Ebro_g11662.t1 Ebro_g19436.t1 Ebro_g21267.t1 Ebro_g22648.t1 Ebro_g23992.t1 Ebro_g24424.t1 Ebro_g39928.t1 Ebro_g43465.t1
HG_227161	OG0227160: Ebro_g29366.t2
HG_224199	OG0224198: Ebro_g17386.t1
HG_227047	OG0227046: Ebro_g45554.t1
HG_225471	OG0225470: Ebro_g35035.t2
HG_225673	OG0225672: Ebro_g23106.t1
HG_225875	OG0225874: Ebro_g20698.t1
HG_42405	OG0042404: Ebro_g15070.t1 Ebro_g28922.t1 Ebro_g45361.t1 Ebro_g46771.t1 Ebro_g478.t1 Ebro_g5031.t1 Ebro_g5277.t1
HG_225357	OG0225356: Ebro_g3324.t1
HG_225559	OG0225558: Ebro_g28107.t3
HG_225155	OG0225154: Ebro_g45645.t1
HG_226831	OG0226830: Ebro_g10402.t1
HG_226717	OG0226716: Ebro_g37220.t1
HG_226919	OG0226918: Ebro_g3845.t1
HG_83136	OG0083135: Ebro_g22870.t1 Ebro_g38227.t1 Ebro_g5479.t1
HG_226515	OG0226514: Ebro_g45995.t1
HG_226111	OG0226110: Ebro_g14690.t1
HG_226313	OG0226312: Ebro_g38372.t1
